cca3,Year,Death Numbers,population,Death Rate
NER,1990,141670,8026592.0,1.7650081130322806
NER,1991,144215,8288739.0,1.7398907119647513
NER,1992,148279,8566773.0,1.7308617842447793
NER,1993,152110,8860297.0,1.71675960749397
NER,1994,153553,9168316.0,1.6748222901566654
NER,1995,158021,9490289.0,1.665081010704732
NER,1996,156194,9826600.0,1.5895019640567438
NER,1997,158466,1.0178196E7,1.5569163729996947
NER,1998,160353,1.054572E7,1.5205505171766367
NER,1999,163154,1.0929922E7,1.4927279444446173
NER,2000,165753,1.1331561E7,1.4627552196912676
NER,2001,166705,1.1751364E7,1.4186012789664246
NER,2002,164206,1.2189988E7,1.3470562891448294
NER,2003,165208,1.2647983E7,1.306200364121299
NER,2004,159624,1.3125914E7,1.2160981703826492
NER,2005,167930,1.3624474E7,1.2325613451205528
NER,2006,164454,1.4143969E7,1.1627146524430305
NER,2007,164076,1.4685404E7,1.117272633425679
NER,2008,158330,1.5250913E7,1.0381673543085586
NER,2009,159950,1.5843131E7,1.009585794626075
NER,2010,159333,1.6464025E7,0.967764565469258
NER,2011,164301,1.711477E7,0.9599953724180926
NER,2012,167934,1.7795209E7,0.9437034428761135
NER,2013,173702,1.8504287E7,0.9387122022048188
NER,2014,174929,1.9240182E7,0.9091857862883002
NER,2015,177542,2.0001663E7,0.887636193050548
NER,2016,177893,2.0788789E7,0.855716030404657
NER,2017,177766,2.1602388E7,0.8228997646000988
NER,2018,173287,2.2442831E7,0.77212629725724
NER,2019,173915,2.3310719E7,0.7460730833742194
