cca3,Year,Death Numbers,population,Death Rate
NGA,1990,1169882,9.5212454E7,1.2287069084470819
NGA,1991,1215101,9.7667632E7,1.2441184199080408
NGA,1992,1235700,1.00161708E8,1.2337050003180856
NGA,1993,1267130,1.02700751E8,1.2338079202556171
NGA,1994,1299980,1.05293701E8,1.2346227624765511
NGA,1995,1331943,1.07948339E8,1.233870768497883
NGA,1996,1378453,1.10668784E8,1.2455662294075627
NGA,1997,1397465,1.13457661E8,1.2317061604152053
NGA,1998,1432393,1.16319763E8,1.2314270275808592
NGA,1999,1469547,1.19260055E8,1.2322206291117341
NGA,2000,1499222,1.22283853E8,1.2260179600327117
NGA,2001,1523202,1.25394046E8,1.214732316716218
NGA,2002,1543128,1.28596079E8,1.1999805997195296
NGA,2003,1553850,1.31900633E8,1.1780459006591728
NGA,2004,1555326,1.3532042E8,1.1493653359928975
NGA,2005,1547426,1.38865014E8,1.1143382738578056
NGA,2006,1574546,1.42538305E8,1.1046476243701648
NGA,2007,1580894,1.46339971E8,1.0802885836296907
NGA,2008,1575815,1.50269622E8,1.0486583908489502
NGA,2009,1573247,1.54324939E8,1.0194379535766414
NGA,2010,1557022,1.58503203E8,0.9823284138933143
NGA,2011,1535016,1.6280508E8,0.9428551000988421
NGA,2012,1524636,1.67228803E8,0.9117065796374804
NGA,2013,1516328,1.71765819E8,0.8827879777407868
NGA,2014,1519214,1.76404931E8,0.8612083525034796
NGA,2015,1500176,1.81137454E8,0.8281975742024066
NGA,2016,1473052,1.85960244E8,0.7921327528479689
NGA,2017,1455083,1.90873247E8,0.7623294635942354
NGA,2018,1448418,1.95874685E8,0.739461559312782
NGA,2019,1439500,2.00963603E8,0.7162988613415734
