cca3,Year,Death Numbers,population,Death Rate
NIU,1990,23,2332.0,0.9862778730703259
NIU,1991,22,2292.0,0.9598603839441536
NIU,1992,22,2261.0,0.9730207872622734
NIU,1993,22,2228.0,0.9874326750448833
NIU,1994,22,2201.0,0.9995456610631531
NIU,1995,22,2161.0,1.018047200370199
NIU,1996,22,2124.0,1.0357815442561207
NIU,1997,22,2069.0,1.0633156114064766
NIU,1998,21,2009.0,1.0452961672473868
NIU,1999,20,1953.0,1.0240655401945724
NIU,2000,21,1902.0,1.1041009463722398
NIU,2001,21,1843.0,1.1394465545306565
NIU,2002,20,1795.0,1.1142061281337048
NIU,2003,20,1748.0,1.1441647597254003
NIU,2004,21,1713.0,1.2259194395796849
NIU,2005,18,1688.0,1.066350710900474
NIU,2006,18,1667.0,1.0797840431913617
NIU,2007,18,1647.0,1.092896174863388
NIU,2008,18,1633.0,1.1022657685241886
NIU,2009,18,1622.0,1.1097410604192355
NIU,2010,18,1622.0,1.1097410604192355
NIU,2011,18,1618.0,1.1124845488257107
NIU,2012,18,1606.0,1.1207970112079702
NIU,2013,18,1606.0,1.1207970112079702
NIU,2014,18,1607.0,1.120099564405725
NIU,2015,18,1610.0,1.1180124223602486
NIU,2016,18,1611.0,1.1173184357541899
NIU,2017,18,1612.0,1.1166253101736971
NIU,2018,18,1610.0,1.1180124223602486
NIU,2019,18,1614.0,1.1152416356877324
