cca3,Year,Death Numbers,population,Death Rate
NPL,1990,195446,1.890548E7,1.0338060710439512
NPL,1991,192786,1.9405506E7,0.9934603096667513
NPL,1992,187882,1.9938322E7,0.9423160083381139
NPL,1993,186871,2.0489973E7,0.9120119387175376
NPL,1994,181961,2.1040899E7,0.8647966990383824
NPL,1995,179079,2.1576074E7,0.8299888107539861
NPL,1996,175615,2.2090352E7,0.7949850685946516
NPL,1997,171372,2.2584772E7,0.7587944655806134
NPL,1998,168400,2.3057875E7,0.730336164976174
NPL,1999,164567,2.3509971E7,0.699988102920246
NPL,2000,161555,2.3941099E7,0.6748019378726098
NPL,2001,158736,2.4347113E7,0.6519705231581255
NPL,2002,161229,2.4725625E7,0.6520724956396451
NPL,2003,155772,2.508088E7,0.6210786862342949
NPL,2004,157439,2.5419337E7,0.6193670590228219
NPL,2005,157986,2.57445E7,0.6136689389966788
NPL,2006,159022,2.6066687E7,0.6100583476526955
NPL,2007,160255,2.6382586E7,0.6074271870088853
NPL,2008,161381,2.6666581E7,0.6051806941429799
NPL,2009,162952,2.6883531E7,0.6061406144899641
NPL,2010,163920,2.7013207E7,0.6068142890253645
NPL,2011,166098,2.704122E7,0.6142400379864518
NPL,2012,168293,2.698916E7,0.6235577542983924
NPL,2013,171922,2.6916795E7,0.6387164593704414
NPL,2014,174226,2.6905982E7,0.6475362988052248
NPL,2015,185799,2.7015033E7,0.6877615141169733
NPL,2016,179096,2.726343E7,0.6569092737047393
NPL,2017,181658,2.7632682E7,0.6574027088648144
NPL,2018,183713,2.8095712E7,0.6538826992531814
NPL,2019,186383,2.8608715E7,0.6514902888857469
