cca3,Year,Death Numbers,population,Death Rate
NRU,1990,70,9506.0,0.7363770250368188
NRU,1991,71,9766.0,0.7270120827360229
NRU,1992,70,10030.0,0.6979062811565304
NRU,1993,72,10287.0,0.699912510936133
NRU,1994,72,10496.0,0.6859756097560976
NRU,1995,75,10626.0,0.7058159232072276
NRU,1996,78,10677.0,0.7305422871593144
NRU,1997,79,10643.0,0.7422719158132106
NRU,1998,80,10567.0,0.7570739093403994
NRU,1999,82,10449.0,0.7847640922576324
NRU,2000,84,10335.0,0.8127721335268505
NRU,2001,86,10219.0,0.841569625207946
NRU,2002,86,10102.0,0.8513165709760443
NRU,2003,85,9990.0,0.8508508508508509
NRU,2004,85,9906.0,0.85806581869574
NRU,2005,82,9848.0,0.8326563769293258
NRU,2006,82,9827.0,0.8344357382721074
NRU,2007,82,9846.0,0.832825512898639
NRU,2008,81,9880.0,0.819838056680162
NRU,2009,80,9945.0,0.8044243338360985
NRU,2010,75,10009.0,0.7493256069537416
NRU,2011,74,10069.0,0.7349289899692124
NRU,2012,72,10136.0,0.7103393843725335
NRU,2013,68,10208.0,0.6661442006269592
NRU,2014,66,10289.0,0.6414617552726212
NRU,2015,64,10374.0,0.6169269327164064
NRU,2016,62,10474.0,0.5919419514989498
NRU,2017,62,10577.0,0.5861775550723268
NRU,2018,63,10678.0,0.589998126990073
NRU,2019,63,10764.0,0.5852842809364548
