cca3,Year,Death Numbers,population,Death Rate
NZL,1990,25030,3398175.0,0.7365718363533367
NZL,1991,25035,3446171.0,0.7264584374948312
NZL,1992,25450,3503194.0,0.7264798923496671
NZL,1993,25806,3564473.0,0.7239779905753249
NZL,1994,25703,3623272.0,0.709386433036217
NZL,1995,26253,3674940.0,0.7143790102695554
NZL,1996,26395,3717352.0,0.7100484430852929
NZL,1997,26215,3752355.0,0.698627928327677
NZL,1998,25752,3783976.0,0.6805539992854077
NZL,1999,26213,3818128.0,0.6865406293345849
NZL,2000,26068,3858992.0,0.6755131910094657
NZL,2001,26438,3907941.0,0.6765199372252549
NZL,2002,26589,3963202.0,0.6708969161804016
NZL,2003,26539,4022074.0,0.6598337076841451
NZL,2004,26579,4080421.0,0.6513788650729913
NZL,2005,26314,4135353.0,0.6363181087563746
NZL,2006,26477,4185881.0,0.6325311206888108
NZL,2007,26858,4233046.0,0.6344840098595668
NZL,2008,27144,4278156.0,0.6344789671063888
NZL,2009,27194,4323338.0,0.6290047181136427
NZL,2010,27315,4370060.0,0.6250486263346499
NZL,2011,28143,4418674.0,0.6369105301726264
NZL,2012,28285,4468462.0,0.6329918437260964
NZL,2013,28317,4518519.0,0.6266876381398419
NZL,2014,29059,4567522.0,0.6362093056147293
NZL,2015,29435,4614527.0,0.6378768614854783
NZL,2016,29786,4659265.0,0.6392853808486961
NZL,2017,30326,4702029.0,0.6449556138424497
NZL,2018,31872,4743131.0,0.6719612003126205
NZL,2019,32652,4783062.0,0.6826589327087962
