cca3,Year,Death Numbers,population,Death Rate
PAK,1990,1035110,1.07647918E8,0.9615699209342814
PAK,1991,1058170,1.10778655E8,0.9552110918840818
PAK,1992,1083389,1.13911126E8,0.9510826887972295
PAK,1993,1107986,1.1708668E8,0.9462955137168464
PAK,1994,1135078,1.20362764E8,0.9430474693984262
PAK,1995,1167503,1.23776835E8,0.9432322291970061
PAK,1996,1180421,1.27349293E8,0.9269160214340569
PAK,1997,1197614,1.31057432E8,0.9138085354823678
PAK,1998,1203016,1.34843233E8,0.8921589710030166
PAK,1999,1216979,1.38624625E8,0.8778952512946383
PAK,2000,1230652,1.42343583E8,0.864564439128949
PAK,2001,1243742,1.45978408E8,0.8520040854261132
PAK,2002,1258990,1.49549695E8,0.8418539402571165
PAK,2003,1270552,1.53093371E8,0.8299196703951341
PAK,2004,1278731,1.56664698E8,0.816221533200798
PAK,2005,1355617,1.60304007E8,0.8456538456958222
PAK,2006,1291678,1.64022626E8,0.7874998904114607
PAK,2007,1291064,1.67808106E8,0.7693692699207272
PAK,2008,1318716,1.71648984E8,0.768263213256188
PAK,2009,1337707,1.7552561E8,0.7621149984893942
PAK,2010,1356213,1.79424643E8,0.7558677433177337
PAK,2011,1357522,1.83340168E8,0.7404389418907917
PAK,2012,1368479,1.87280125E8,0.7307123486808864
PAK,2013,1379122,1.91260799E8,0.7210688270731317
PAK,2014,1393560,1.95305012E8,0.7135300757156195
PAK,2015,1402922,1.99426953E8,0.7034766258500675
PAK,2016,1413100,2.03631356E8,0.6939501006907797
PAK,2017,1421935,2.0790621E8,0.6839309898439301
PAK,2018,1408330,2.12228288E8,0.6635920278450346
PAK,2019,1411894,2.16565317E8,0.6519483449882236
