cca3,Year,Death Numbers,population,Death Rate
PHL,1990,338552,6.1895169E7,0.546976453041109
PHL,1991,338537,6.3454785E7,0.5335090174838667
PHL,1992,337038,6.5020124E7,0.5183595158938793
PHL,1993,343011,6.6593903E7,0.5150786852063619
PHL,1994,348262,6.8180846E7,0.5107915498731125
PHL,1995,354236,6.9784087E7,0.50761715919562
PHL,1996,360572,7.1401743E7,0.5049904734118326
PHL,1997,364562,7.3030879E7,0.4991888431193605
PHL,1998,373027,7.4672009E7,0.4995539895009387
PHL,1999,381989,7.6325927E7,0.500470829525595
PHL,2000,397158,7.7991757E7,0.5092307383202048
PHL,2001,410136,7.9672869E7,0.51477498569808
PHL,2002,422272,8.136526E7,0.5189831630845891
PHL,2003,427683,8.305197E7,0.5149582845536355
PHL,2004,434233,8.4710544E7,0.5126079700302716
PHL,2005,452251,8.6326251E7,0.523885833985771
PHL,2006,469227,8.7888675E7,0.5338878985261754
PHL,2007,472316,8.9405482E7,0.5282852789720434
PHL,2008,488506,9.0901967E7,0.5373987121752821
PHL,2009,503390,9.2414161E7,0.5447108912236945
PHL,2010,508457,9.3966784E7,0.5411029071719641
PHL,2011,522508,9.5570049E7,0.5467277724216716
PHL,2012,537136,9.7212639E7,0.552537206607466
PHL,2013,560378,9.8871558E7,0.5667737126181424
PHL,2014,559540,1.00513137E8,0.5566834512388167
PHL,2015,579636,1.02113206E8,0.567640585097289
PHL,2016,589762,1.03663812E8,0.5689179170837361
PHL,2017,599787,1.05172921E8,0.5702865284116242
PHL,2018,602388,1.06651394E8,0.5648196215794422
PHL,2019,609754,1.08116622E8,0.5639780347558399
