cca3,Year,Death Numbers,population,Death Rate
PLW,1990,120,15063.0,0.7966540529774946
PLW,1991,123,15442.0,0.796528947027587
PLW,1992,126,15859.0,0.794501544864115
PLW,1993,130,16285.0,0.7982806263432606
PLW,1994,134,16735.0,0.8007170600537796
PLW,1995,139,17158.0,0.8101177293390839
PLW,1996,142,17599.0,0.8068640263651344
PLW,1997,146,18016.0,0.8103907637655416
PLW,1998,148,18409.0,0.8039545874300613
PLW,1999,151,18773.0,0.8043466680871464
PLW,2000,155,19104.0,0.8113484087102176
PLW,2001,158,19390.0,0.8148530170190821
PLW,2002,160,19642.0,0.8145809998981774
PLW,2003,162,19812.0,0.8176862507571169
PLW,2004,165,19861.0,0.8307738784552641
PLW,2005,168,19784.0,0.8491710473109584
PLW,2006,169,19545.0,0.864671271424917
PLW,2007,169,19159.0,0.8820919672216713
PLW,2008,169,18708.0,0.903356852683344
PLW,2009,170,18290.0,0.9294696555494806
PLW,2010,168,17954.0,0.9357246296090008
PLW,2011,171,17748.0,0.9634888438133874
PLW,2012,170,17635.0,0.9639920612418486
PLW,2013,174,17603.0,0.9884678747940692
PLW,2014,178,17625.0,1.0099290780141843
PLW,2015,182,17665.0,1.03028587602604
PLW,2016,186,17718.0,1.0497798848628515
PLW,2017,190,17809.0,1.066876298500758
PLW,2018,193,17911.0,1.0775501088716433
PLW,2019,201,18001.0,1.11660463307594
