cca3,Year,Death Numbers,population,Death Rate
PNG,1990,28220,4615843.0,0.6113726138432352
PNG,1991,29394,4725543.0,0.6220237547304087
PNG,1992,29933,4836216.0,0.6189343073179527
PNG,1993,30549,4949053.0,0.6172696069328819
PNG,1994,31113,5065664.0,0.6141939141640662
PNG,1995,31781,5187063.0,0.6126973973518347
PNG,1996,32371,5314258.0,0.609134897101345
PNG,1997,33217,5446633.0,0.609863010781156
PNG,1998,36961,5581767.0,0.6621738241671499
PNG,1999,36073,5716166.0,0.63106984646702
PNG,2000,37524,5847590.0,0.6417002560029003
PNG,2001,39108,5974627.0,0.6545680592277978
PNG,2002,40743,6098621.0,0.6680690602022982
PNG,2003,42472,6223378.0,0.6824589475362094
PNG,2004,44475,6354247.0,0.6999255773343404
PNG,2005,46632,6494902.0,0.7179785006763767
PNG,2006,48431,6646891.0,0.728626360805375
PNG,2007,49658,6808503.0,0.7293526932425527
PNG,2008,50614,6976200.0,0.7255239241994209
PNG,2009,51970,7144774.0,0.7273847990153361
PNG,2010,52997,7310512.0,0.7249423843364186
PNG,2011,53848,7472196.0,0.720644908136778
PNG,2012,55089,7631003.0,0.7219103438958155
PNG,2013,56090,7788388.0,0.7201747011063137
PNG,2014,56880,7946733.0,0.715765837357314
PNG,2015,57698,8107772.0,0.7116381664407928
PNG,2016,59215,8271766.0,0.7158688966781701
PNG,2017,60742,8438038.0,0.7198592848242684
PNG,2018,62152,8606324.0,0.722166630026943
PNG,2019,63274,8776119.0,0.7209792848068719
