cca3,Year,Death Numbers,population,Death Rate
POL,1990,373642,3.7960193E7,0.9842995266119959
POL,1991,388147,3.808294E7,1.0192149030510775
POL,1992,381806,3.8197588E7,0.9995552598766184
POL,1993,371816,3.8301349E7,0.9707647634029809
POL,1994,372695,3.8389469E7,0.9708261398457998
POL,1995,376409,3.8458642E7,0.9787371067340339
POL,1996,370351,3.8509672E7,0.9617090480542135
POL,1997,370738,3.8544838E7,0.9618356678525928
POL,1998,366053,3.8564191E7,0.9492044057140988
POL,1999,371725,3.8567868E7,0.9638204528183928
POL,2000,360174,3.8556699E7,0.9341411721994147
POL,2001,355857,3.8529585E7,0.9235941679620998
POL,2002,352975,3.848864E7,0.9170887825602568
POL,2003,353244,3.8441821E7,0.9189054805702362
POL,2004,357681,3.8399553E7,0.9314717804136939
POL,2005,360712,3.8368957E7,0.9401141657303846
POL,2006,364857,3.8354447E7,0.9512769145126769
POL,2007,370022,3.8353339E7,0.9647712810610831
POL,2008,371512,3.8356786E7,0.9685691600959476
POL,2009,373326,3.8351924E7,0.9734218288500988
POL,2010,367443,3.8329784E7,0.9586357178532496
POL,2011,368749,3.8286824E7,0.9631224569580387
POL,2012,375674,3.8227033E7,0.9827443317403157
POL,2013,376011,3.8158043E7,0.9854043091256016
POL,2014,371610,3.8091095E7,0.9755823506780259
POL,2015,382791,3.8034076E7,1.0064422230212717
POL,2016,383024,3.7989218E7,1.0082439706971595
POL,2017,388076,3.7953176E7,1.0225125823462047
POL,2018,395427,3.7921585E7,1.0427491361450214
POL,2019,400946,3.7887771E7,1.058246472192835
