cca3,Year,Death Numbers,population,Death Rate
PRK,1990,157221,2.0293057E7,0.7747526654066955
PRK,1991,159533,2.0609151E7,0.7740881708324617
PRK,1992,162217,2.0937407E7,0.7747712025658191
PRK,1993,165239,2.1265832E7,0.7770163894833741
PRK,1994,168222,2.1577979E7,0.7796003508947711
PRK,1995,364844,2.18623E7,1.6688271590820727
PRK,1996,316573,2.2113428E7,1.4315871786138268
PRK,1997,318297,2.2335263E7,1.4250873159631028
PRK,1998,320281,2.2536754E7,1.4211496473715781
PRK,1999,322197,2.273147E7,1.4174050336383877
PRK,2000,323768,2.2929078E7,1.4120410772731464
PRK,2001,325241,2.3132982E7,1.405962274989018
PRK,2002,326648,2.3339453E7,1.3995529372517856
PRK,2003,183190,2.3542434E7,0.778126849585731
PRK,2004,187569,2.373274E7,0.7903385786891863
PRK,2005,191870,2.3904167E7,0.8026634017407928
PRK,2006,196333,2.4054866E7,0.8161882922149721
PRK,2007,201072,2.418833E7,0.831276900885675
PRK,2008,204988,2.4310143E7,0.8432200501658916
PRK,2009,208456,2.442834E7,0.8533367392135527
PRK,2010,211522,2.454884E7,0.8616374541526198
PRK,2011,214441,2.4673392E7,0.869118441436832
PRK,2012,216993,2.4800638E7,0.8749492654180911
PRK,2013,218928,2.49295E7,0.8781884915461603
PRK,2014,220858,2.5057793E7,0.8813944627924734
PRK,2015,222912,2.5183832E7,0.885139322721022
PRK,2016,226013,2.5307665E7,0.8930614499599232
PRK,2017,228373,2.5429816E7,0.8980521133145439
PRK,2018,231383,2.5549606E7,0.9056225759410927
PRK,2019,233975,2.5666158E7,0.9116089755233332
