cca3,Year,Death Numbers,population,Death Rate
PRT,1990,99658,9895358.0,1.0071186914106594
PRT,1991,101320,9916052.0,1.0217776187539154
PRT,1992,100663,9951305.0,1.0115557708260374
PRT,1993,101957,9996642.0,1.0199124866130047
PRT,1994,99630,1.0045032E7,0.991833575044858
PRT,1995,101520,1.0091322E7,1.0060128890942137
PRT,1996,103443,1.0134016E7,1.0207503126105189
PRT,1997,102984,1.0174564E7,1.0121711357852778
PRT,1998,103545,1.0214046E7,1.013751063976019
PRT,1999,104520,1.0254501E7,1.0192597377483312
PRT,2000,103282,1.0297117E7,1.0030186119085567
PRT,2001,103002,1.0341456E7,0.9960106197811991
PRT,2002,103645,1.0385993E7,0.9979305782316625
PRT,2003,104064,1.0429615E7,0.9977741268493611
PRT,2004,101108,1.0470926E7,0.9656070532825846
PRT,2005,100654,1.0508494E7,0.9578346811636378
PRT,2006,99856,1.0542837E7,0.9471454410231326
PRT,2007,100854,1.057315E7,0.953868998359051
PRT,2008,101235,1.0595312E7,0.9554697398245564
PRT,2009,101719,1.0604066E7,0.9592452555463159
PRT,2010,101810,1.0596055E7,0.9608292897686922
PRT,2011,101700,1.0569388E7,0.9622127600954757
PRT,2012,102356,1.0526308E7,0.9723827195632124
PRT,2013,102515,1.0473025E7,0.9788480405613469
PRT,2014,102567,1.0418224E7,0.9844960139079367
PRT,2015,103625,1.0368346E7,0.9994361685074938
PRT,2016,106065,1.032554E7,1.0272101991760236
PRT,2017,108387,1.0288527E7,1.0534744186412692
PRT,2018,110224,1.0256192E7,1.0747068697621887
PRT,2019,112505,1.0226178E7,1.1001666507271828
