cca3,Year,Death Numbers,population,Death Rate
PSE,1990,10624,2101445.0,0.5055568906157429
PSE,1991,10645,2191000.0,0.485851209493382
PSE,1992,10762,2287676.0,0.4704337502338618
PSE,1993,10627,2391399.0,0.4443842286460771
PSE,1994,10607,2501973.0,0.42394542227274234
PSE,1995,10518,2618671.0,0.40165412149903523
PSE,1996,10593,2742534.0,0.3862486299167121
PSE,1997,10692,2872006.0,0.37228334481195374
PSE,1998,10837,3000624.0,0.3611582124251489
PSE,1999,10997,3119868.0,0.35248286145439484
PSE,2000,13314,3224009.0,0.4129641077304685
PSE,2001,14591,3309908.0,0.44082796258989676
PSE,2002,16079,3380161.0,0.4756874006889021
PSE,2003,15093,3441868.0,0.43851187785237555
PSE,2004,15760,3505320.0,0.4496023187611973
PSE,2005,14685,3577956.0,0.41042986554334376
PSE,2006,17344,3662421.0,0.47356652880703776
PSE,2007,15288,3756459.0,0.40697901933709374
PSE,2008,19037,3856692.0,0.4936095493236172
PSE,2009,18864,3957684.0,0.47664239994906116
PSE,2010,13612,4055632.0,0.3356320297305081
PSE,2011,13929,4149654.0,0.3356665399091105
PSE,2012,14248,4241572.0,0.33591319444771894
PSE,2013,13372,4333521.0,0.30857125187578416
PSE,2014,14190,4428634.0,0.3204148276872733
PSE,2015,14848,4529160.0,0.3278312093191673
PSE,2016,15031,4635644.0,0.3242483676485942
PSE,2017,15155,4747233.0,0.31923859646240244
PSE,2018,15481,4862978.0,0.31834402705502673
PSE,2019,15798,4981422.0,0.3171383592877696
