cca3,Year,Death Numbers,population,Death Rate
RUS,1990,1578896,1.47531562E8,1.0702089631505425
RUS,1991,1612808,1.47995584E8,1.0897676514455998
RUS,1992,1737526,1.48268576E8,1.1718774448875802
RUS,1993,2051078,1.48373584E8,1.38237410238739
RUS,1994,2242181,1.48349443E8,1.511418549781815
RUS,1995,2151340,1.48227471E8,1.4513773900925557
RUS,1996,2028218,1.48020852E8,1.3702245140434672
RUS,1997,1929534,1.4773002E8,1.3061218024610028
RUS,1998,1913612,1.47360613E8,1.2985912321089488
RUS,1999,2079054,1.46915915E8,1.4151319140611824
RUS,2000,2169960,1.4640489E8,1.4821636080598128
RUS,2001,2204534,1.45830726E8,1.5117074847450187
RUS,2002,2264719,1.45215707E8,1.5595551244329238
RUS,2003,2301835,1.44610876E8,1.5917440400540828
RUS,2004,2251508,1.44080649E8,1.5626720282194175
RUS,2005,2330659,1.43672125E8,1.6222068129082101
RUS,2006,2161983,1.43403258E8,1.507624743086381
RUS,2007,2074301,1.43266207E8,1.4478648129492253
RUS,2008,2083724,1.43248764E8,1.4546191826129822
RUS,2009,2000766,1.43326904E8,1.3959458721022817
RUS,2010,2019797,1.43479273E8,1.4077273725801496
RUS,2011,1899101,1.43703027E8,1.3215455788554824
RUS,2012,1867171,1.43993888E8,1.296701565555338
RUS,2013,1838516,1.44325456E8,1.2738681386878832
RUS,2014,1865301,1.44664837E8,1.2893948790057392
RUS,2015,1842533,1.44985059E8,1.2708433632461398
RUS,2016,1820720,1.45275374E8,1.2532888058508802
RUS,2017,1744350,1.45530091E8,1.1986180919793419
RUS,2018,1752517,1.45734034E8,1.2025447672710412
RUS,2019,1777222,1.4587226E8,1.218341307661923
