cca3,Year,Death Numbers,population,Death Rate
SAU,1990,66490,1.6233786E7,0.4095779012979474
SAU,1991,67935,1.6772695E7,0.4050332996575684
SAU,1992,69094,1.7282686E7,0.39978739415852377
SAU,1993,70233,1.7763297E7,0.39538268149206757
SAU,1994,71317,1.8214475E7,0.3915402447778484
SAU,1995,72674,1.863879E7,0.3899072847539996
SAU,1996,73581,1.9033843E7,0.3865798409706332
SAU,1997,74955,1.9407138E7,0.38622387288635757
SAU,1998,75664,1.9783301E7,0.3824639780792902
SAU,1999,76851,2.0194531E7,0.3805535270910723
SAU,2000,77976,2.066384E7,0.3773548382101294
SAU,2001,79029,2.1202646E7,0.3727317807409509
SAU,2002,80238,2.1805322E7,0.3679743871702514
SAU,2003,82000,2.2456645E7,0.36514804415352337
SAU,2004,83046,2.3132686E7,0.35899851837352564
SAU,2005,85369,2.3816175E7,0.35844966708549963
SAU,2006,87513,2.4498313E7,0.35722051555141776
SAU,2007,90295,2.5184589E7,0.35853275191427586
SAU,2008,92837,2.5888535E7,0.3586027560076304
SAU,2009,94830,2.6630303E7,0.3560980887074398
SAU,2010,96982,2.7421468E7,0.3536718019618789
SAU,2011,98091,2.8267591E7,0.34700869982164384
SAU,2012,99394,2.9154906E7,0.3409168940554979
SAU,2013,101208,3.0052058E7,0.3367756045193311
SAU,2014,103355,3.0916603E7,0.33430257522147566
SAU,2015,106329,3.1717676E7,0.33523578461423215
SAU,2016,108654,3.2443443E7,0.3349028030101491
SAU,2017,110862,3.3101182E7,0.3349185536637332
SAU,2018,114044,3.3702757E7,0.33838181250275756
SAU,2019,117663,3.4268529E7,0.3433558528292825
