cca3,Year,Death Numbers,population,Death Rate
SLE,1990,59079,4319763.0,1.3676444749399446
SLE,1991,59479,4348663.0,1.367753721086228
SLE,1992,57927,4347727.0,1.3323513642875922
SLE,1993,57894,4328965.0,1.3373635499478513
SLE,1994,60395,4309780.0,1.401347632593775
SLE,1995,61373,4303953.0,1.4259681739089622
SLE,1996,59230,4312660.0,1.3733983202942037
SLE,1997,60227,4335295.0,1.3892249547031978
SLE,1998,64997,4381484.0,1.4834471608249624
SLE,1999,65927,4462374.0,1.4773974570486472
SLE,2000,64908,4584570.0,1.4157925388858714
SLE,2001,66230,4754069.0,1.3931223968352164
SLE,2002,68252,4965770.0,1.3744494811479389
SLE,2003,69607,5201074.0,1.3383197393461428
SLE,2004,71622,5433995.0,1.3180358097495488
SLE,2005,72006,5645629.0,1.2754291860127542
SLE,2006,72102,5829240.0,1.236902237684501
SLE,2007,71805,5989641.0,1.1988197623196448
SLE,2008,71463,6133599.0,1.1651071418265198
SLE,2009,70345,6272735.0,1.1214406475006515
SLE,2010,69744,6415636.0,1.0870940932434447
SLE,2011,68429,6563238.0,1.0426103700642884
SLE,2012,67782,6712586.0,1.009774772345561
SLE,2013,66666,6863975.0,0.9712447962004523
SLE,2014,65521,7017153.0,0.9337262562181557
SLE,2015,65415,7171909.0,0.9121002511325785
SLE,2016,65214,7328846.0,0.8898263109908436
SLE,2017,66232,7488427.0,0.8844581111627315
SLE,2018,64320,7650149.0,0.8407679379839529
SLE,2019,64004,7813207.0,0.8191770677520768
