cca3,Year,Death Numbers,population,Death Rate
SOM,1990,96787,7225089.0,1.339595955150172
SOM,1991,101540,7274026.0,1.395925722564093
SOM,1992,100675,7295380.0,1.379982948112367
SOM,1993,100239,7315864.0,1.370159423411917
SOM,1994,105707,7372592.0,1.4337833966670066
SOM,1995,108534,7491647.0,1.4487335027931776
SOM,1996,112662,7682683.0,1.4664408254251802
SOM,1997,118903,7936122.0,1.4982506569329452
SOM,1998,120195,8235064.0,1.4595514983247246
SOM,1999,123405,8553595.0,1.442726713153943
SOM,2000,126181,8872250.0,1.422198427681817
SOM,2001,128203,9186719.0,1.3955254318761683
SOM,2002,130030,9501335.0,1.3685445255850888
SOM,2003,131855,9815412.0,1.343346565584817
SOM,2004,134367,1.0130251E7,1.3263935908399507
SOM,2005,133821,1.0446856E7,1.2809691260222216
SOM,2006,135363,1.0763904E7,1.2575641700260427
SOM,2007,142628,1.1080122E7,1.287242144084695
SOM,2008,146207,1.1397188E7,1.282833976240455
SOM,2009,147659,1.1717691E7,1.260137342758057
SOM,2010,169795,1.2043886E7,1.409802450803669
SOM,2011,170237,1.2376305E7,1.375507471737324
SOM,2012,152800,1.2715487E7,1.2016842139038797
SOM,2013,152811,1.3063711E7,1.1697365319854367
SOM,2014,154857,1.3423571E7,1.153620001711914
SOM,2015,155688,1.3797204E7,1.1284025372097128
SOM,2016,160133,1.4185635E7,1.1288391390304346
SOM,2017,162907,1.4589165E7,1.1166300470246242
SOM,2018,163578,1.5008225E7,1.0899223592396836
SOM,2019,165347,1.5442906E7,1.0706987402500538
