cca3,Year,Death Numbers,population,Death Rate
SRB,1990,94954,9517677.0,0.9976594078576105
SRB,1991,97925,9602879.0,1.0197462656771996
SRB,1992,97712,9701145.0,1.0072213125357883
SRB,1993,100728,9795253.0,1.0283348475021523
SRB,1994,104192,9861631.0,1.056539227638917
SRB,1995,107542,9884145.0,1.0880253173137382
SRB,1996,111314,9856064.0,1.12939607535016
SRB,1997,115543,9784689.0,1.1808551094470146
SRB,1998,108869,9685430.0,1.1240492161938085
SRB,1999,117168,9580824.0,1.2229428282995283
SRB,2000,111342,9487612.0,1.173551363609726
SRB,2001,109931,9410769.0,1.1681404569594684
SRB,2002,110185,9346464.0,1.178895034528566
SRB,2003,113204,9292232.0,1.218264890502088
SRB,2004,115913,9242643.0,1.2541109723701327
SRB,2005,119692,9193818.0,1.3018748032645415
SRB,2006,119447,9145913.0,1.3060150473768994
SRB,2007,119015,9101189.0,1.3076862814298218
SRB,2008,120495,9060105.0,1.3299514740723204
SRB,2009,119583,9023354.0,1.325261094710459
SRB,2010,116776,8991258.0,1.298772652280693
SRB,2011,114812,8963761.0,1.2808462876241344
SRB,2012,114311,8940116.0,1.278629941714403
SRB,2013,114850,8918892.0,1.2877160077731629
SRB,2014,115875,8898284.0,1.3022173713493523
SRB,2015,115860,8876777.0,1.3052034539112563
SRB,2016,112883,8853963.0,1.2749432090466157
SRB,2017,113905,8829623.0,1.2900324283381068
SRB,2018,115837,8802741.0,1.3159196663857315
SRB,2019,116590,8772228.0,1.3290808218847026
