cca3,Year,Death Numbers,population,Death Rate
STP,1990,968,119211.0,0.8120056035097433
STP,1991,971,121949.0,0.7962344914677446
STP,1992,983,124574.0,0.7890892160482925
STP,1993,992,127066.0,0.7806966458375962
STP,1994,1010,129425.0,0.7803747344021634
STP,1995,1027,131679.0,0.779926943552123
STP,1996,1041,133799.0,0.7780327207228753
STP,1997,1054,135831.0,0.7759642496926328
STP,1998,1066,137855.0,0.7732762685430343
STP,1999,1056,139964.0,0.7544797233574349
STP,2000,1100,142264.0,0.7732103694539729
STP,2001,1086,144760.0,0.7502072395689418
STP,2002,1057,147450.0,0.7168531705662937
STP,2003,1067,150405.0,0.7094179049898607
STP,2004,1031,153736.0,0.6706301712025811
STP,2005,1046,157472.0,0.664245072139809
STP,2006,997,161676.0,0.6166654296246815
STP,2007,965,166297.0,0.580287076736201
STP,2008,983,171122.0,0.5744439639555404
STP,2009,971,175877.0,0.5520903813460544
STP,2010,950,180372.0,0.5266892865855011
STP,2011,952,184521.0,0.5159304361021239
STP,2012,962,188394.0,0.5106319734174124
STP,2013,959,192076.0,0.49928153439263623
STP,2014,939,195727.0,0.4797498556663107
STP,2015,939,199439.0,0.47082065192865996
STP,2016,943,203221.0,0.46402684761909446
STP,2017,952,207086.0,0.4597123900215369
STP,2018,959,211032.0,0.4544334508510558
STP,2019,962,215048.0,0.44734198876529896
