cca3,Year,Death Numbers,population,Death Rate
SWZ,1990,5728,822423.0,0.6964785761098607
SWZ,1991,5820,845267.0,0.6885398341589107
SWZ,1992,5974,866995.0,0.6890466496346577
SWZ,1993,6190,887706.0,0.6973029358819249
SWZ,1994,6688,907622.0,0.7368706355729588
SWZ,1995,7476,926836.0,0.8066151940580641
SWZ,1996,8497,945506.0,0.8986722453374172
SWZ,1997,9602,963416.0,0.9966618781502488
SWZ,1998,11027,979922.0,1.1252936458207898
SWZ,1999,12533,994105.0,1.2607320152297796
SWZ,2000,14264,1005432.0,1.4186936560602805
SWZ,2001,15888,1013608.0,1.5674698700089185
SWZ,2002,17180,1019054.0,1.6858772940393736
SWZ,2003,18386,1022796.0,1.7976214220626598
SWZ,2004,19252,1026287.0,1.8758885185138268
SWZ,2005,19334,1030575.0,1.8760400747155717
SWZ,2006,18714,1036095.0,1.8062050294615841
SWZ,2007,18222,1042651.0,1.7476605307049051
SWZ,2008,17791,1049948.0,1.6944648687363566
SWZ,2009,17294,1057462.0,1.6354251973120546
SWZ,2010,16208,1064841.0,1.5221051781439672
SWZ,2011,15065,1072029.0,1.4052791482319975
SWZ,2012,14485,1079285.0,1.342092218459443
SWZ,2013,13829,1086843.0,1.2724008895489045
SWZ,2014,13106,1095022.0,1.1968709304470595
SWZ,2015,12429,1104038.0,1.1257764678389692
SWZ,2016,11903,1113994.0,1.068497675930032
SWZ,2017,11557,1124808.0,1.0274642427863243
SWZ,2018,11323,1136274.0,0.9965026041254134
SWZ,2019,11283,1148133.0,0.9827258688671086
