cca3,Year,Death Numbers,population,Death Rate
SYC,1990,538,70572.0,0.7623420053278921
SYC,1991,542,71446.0,0.7586148979648966
SYC,1992,547,72661.0,0.7528109990228596
SYC,1993,559,74071.0,0.7546813192747499
SYC,1994,572,75444.0,0.7581782514182704
SYC,1995,571,76653.0,0.7449153979622455
SYC,1996,578,77597.0,0.7448741575060891
SYC,1997,583,78357.0,0.7440305269471776
SYC,1998,580,79064.0,0.7335829201659415
SYC,1999,579,79904.0,0.7246195434521425
SYC,2000,577,80998.0,0.7123632682288452
SYC,2001,583,82413.0,0.7074126654775339
SYC,2002,604,84077.0,0.718389095709885
SYC,2003,624,85807.0,0.7272133975083618
SYC,2004,632,87388.0,0.7232114249095986
SYC,2005,641,88652.0,0.7230519334025177
SYC,2006,645,89528.0,0.7204450004467876
SYC,2007,650,90082.0,0.7215647965187274
SYC,2008,658,90450.0,0.7274737423991156
SYC,2009,664,90788.0,0.7313741904216416
SYC,2010,661,91273.0,0.7242010233037153
SYC,2011,660,91882.0,0.7183126183583292
SYC,2012,677,92608.0,0.7310383552176918
SYC,2013,690,93397.0,0.7387817595854256
SYC,2014,699,94214.0,0.7419279512598977
SYC,2015,719,94981.0,0.7569935039639507
SYC,2016,739,95711.0,0.772116057715414
SYC,2017,756,96418.0,0.7840859590532888
SYC,2018,770,97094.0,0.7930459142686469
SYC,2019,784,97741.0,0.8021198882761584
