cca3,Year,Death Numbers,population,Death Rate
TCD,1990,87074,5963250.0,1.46017691694965
TCD,1991,88355,6157085.0,1.4350134844654572
TCD,1992,90594,6356741.0,1.4251642468994725
TCD,1993,92169,6563925.0,1.4041750934082884
TCD,1994,94273,6781057.0,1.3902404890564994
TCD,1995,96437,7010159.0,1.3756749311962824
TCD,1996,100542,7250974.0,1.3865999243687814
TCD,1997,104658,7503494.0,1.3947902137324293
TCD,1998,108462,7770053.0,1.3958978143392329
TCD,1999,111404,8053532.0,1.383293690271548
TCD,2000,114857,8355654.0,1.3746021556182197
TCD,2001,116855,8678049.0,1.3465584257475385
TCD,2002,118636,9019226.0,1.3153678597254355
TCD,2003,120951,9373913.0,1.290293605242549
TCD,2004,121794,9734761.0,1.2511247066055344
TCD,2005,122202,1.009663E7,1.2103246330706383
TCD,2006,127250,1.0457122E7,1.2168740117978925
TCD,2007,128213,1.0818031E7,1.1851787076594622
TCD,2008,129649,1.1183589E7,1.159279011415745
TCD,2009,129476,1.1560142E7,1.1200208440346149
TCD,2010,130657,1.1952134E7,1.0931688014876675
TCD,2011,131176,1.2360986E7,1.0612098419980411
TCD,2012,131161,1.2784748E7,1.0259177576280736
TCD,2013,133020,1.3220433E7,1.0061697676619215
TCD,2014,133344,1.3663562E7,0.975909502953915
TCD,2015,135819,1.4110971E7,0.9625064072486579
TCD,2016,136446,1.4561658E7,0.9370224187383057
TCD,2017,138926,1.5016761E7,0.9251395823639997
TCD,2018,139899,1.5477727E7,0.9038730299352096
TCD,2019,141252,1.5946882E7,0.8857656311747965
