cca3,Year,Death Numbers,population,Death Rate
TKL,1990,13,1604.0,0.8104738154613467
TKL,1991,13,1575.0,0.8253968253968255
TKL,1992,13,1558.0,0.8344030808729139
TKL,1993,12,1537.0,0.7807417046193884
TKL,1994,11,1524.0,0.7217847769028871
TKL,1995,11,1507.0,0.7299270072992701
TKL,1996,11,1522.0,0.7227332457293035
TKL,1997,11,1547.0,0.7110536522301228
TKL,1998,11,1569.0,0.7010834926704907
TKL,1999,11,1574.0,0.6988564167725541
TKL,2000,11,1550.0,0.7096774193548387
TKL,2001,12,1506.0,0.796812749003984
TKL,2002,12,1438.0,0.8344923504867872
TKL,2003,11,1348.0,0.8160237388724036
TKL,2004,11,1265.0,0.8695652173913043
TKL,2005,10,1213.0,0.8244023083264632
TKL,2006,10,1165.0,0.8583690987124464
TKL,2007,9,1143.0,0.7874015748031495
TKL,2008,9,1134.0,0.7936507936507936
TKL,2009,9,1126.0,0.7992895204262878
TKL,2010,8,1129.0,0.70859167404783
TKL,2011,8,1138.0,0.7029876977152899
TKL,2012,8,1163.0,0.6878761822871883
TKL,2013,8,1191.0,0.6717044500419815
TKL,2014,8,1217.0,0.657354149548069
TKL,2015,7,1247.0,0.5613472333600642
TKL,2016,8,1276.0,0.6269592476489028
TKL,2017,8,1297.0,0.6168080185042405
TKL,2018,9,1318.0,0.6828528072837633
TKL,2019,9,1330.0,0.6766917293233082
