cca3,Year,Death Numbers,population,Death Rate
TTO,1990,7957,1221121.0,0.6516143772812031
TTO,1991,7999,1229108.0,0.6507971634713955
TTO,1992,8258,1236685.0,0.667752903932691
TTO,1993,8656,1243605.0,0.6960409454770606
TTO,1994,8948,1249527.0,0.7161109763934673
TTO,1995,8731,1254200.0,0.6961409663530538
TTO,1996,9102,1257547.0,0.7237900452229619
TTO,1997,8839,1259838.0,0.7015981419833344
TTO,1998,9261,1261699.0,0.7340102512564407
TTO,1999,9539,1263927.0,0.7547113084853793
TTO,2000,9236,1267159.0,0.7288745926912092
TTO,2001,9387,1271627.0,0.7381881636674905
TTO,2002,9262,1277210.0,0.7251744035828094
TTO,2003,9576,1283564.0,0.746047723370241
TTO,2004,9463,1290115.0,0.7335005018932421
TTO,2005,9462,1296497.0,0.7298127184251101
TTO,2006,9298,1302552.0,0.7138294670769382
TTO,2007,9370,1308450.0,0.7161144866062898
TTO,2008,9846,1314449.0,0.7490591114603914
TTO,2009,9513,1320921.0,0.7201793294224258
TTO,2010,9454,1328144.0,0.7118204050163235
TTO,2011,9231,1336180.0,0.6908500351749016
TTO,2012,9086,1344814.0,0.6756324666459451
TTO,2013,9469,1353708.0,0.6994861521096131
TTO,2014,9796,1362337.0,0.7190585002095663
TTO,2015,10086,1370332.0,0.7360260141338011
TTO,2016,10510,1377563.0,0.762941513382691
TTO,2017,10777,1384060.0,0.7786512145427221
TTO,2018,11033,1389841.0,0.7938318124159526
TTO,2019,11296,1394969.0,0.8097670987670693
