cca3,Year,Death Numbers,population,Death Rate
TUR,1990,347661,5.3921758E7,0.6447508629076968
TUR,1991,345103,5.4840595E7,0.6292838361801144
TUR,1992,347418,5.5748946E7,0.6231830822415907
TUR,1993,344622,5.6653808E7,0.6082945033456533
TUR,1994,349653,5.7564209E7,0.6074138880289314
TUR,1995,346794,5.8486453E7,0.5929475668493693
TUR,1996,340558,5.9423278E7,0.5731053746311336
TUR,1997,338804,6.0372571E7,0.5611886232242785
TUR,1998,334744,6.1329665E7,0.5458109057011806
TUR,1999,341390,6.2287391E7,0.5480884566187721
TUR,2000,308403,6.3240196E7,0.4876692665531903
TUR,2001,312141,6.4192243E7,0.4862596871712366
TUR,2002,318092,6.5145357E7,0.48828038504724136
TUR,2003,315920,6.6089402E7,0.47801915350966556
TUR,2004,312479,6.7010929E7,0.4663105028733448
TUR,2005,310175,6.7903461E7,0.4567882040651801
TUR,2006,317614,6.8756809E7,0.4619382496357561
TUR,2007,327651,6.9581854E7,0.4708856995963344
TUR,2008,342149,7.0418612E7,0.4858786481051345
TUR,2009,360719,7.1321406E7,0.5057654079337696
TUR,2010,371780,7.2326992E7,0.5140266306111555
TUR,2011,380548,7.3443254E7,0.5181524228215705
TUR,2012,387644,7.4651046E7,0.5192747064789957
TUR,2013,400640,7.5925454E7,0.5276754749467814
TUR,2014,410789,7.7229262E7,0.5319084882618715
TUR,2015,414696,7.8529413E7,0.5280772950639526
TUR,2016,424679,7.9827868E7,0.5319934136284337
TUR,2017,430086,8.1116451E7,0.5302081078473219
TUR,2018,433062,8.234009E7,0.5259430734166066
TUR,2019,438917,8.3429607E7,0.5260926136209656
