cca3,Year,Death Numbers,population,Death Rate
TUV,1990,103,8910.0,1.1560044893378227
TUV,1991,103,9014.0,1.1426669625027734
TUV,1992,100,9110.0,1.0976948408342482
TUV,1993,100,9194.0,1.0876658690450294
TUV,1994,99,9259.0,1.0692299384382762
TUV,1995,97,9298.0,1.0432351043235104
TUV,1996,98,9317.0,1.051840721262209
TUV,1997,99,9328.0,1.0613207547169812
TUV,1998,97,9332.0,1.0394342048864125
TUV,1999,97,9344.0,1.0380993150684932
TUV,2000,115,9392.0,1.2244463373083476
TUV,2001,95,9478.0,1.0023211648027008
TUV,2002,96,9593.0,1.0007296987386636
TUV,2003,96,9724.0,0.9872480460715755
TUV,2004,93,9871.0,0.942153783811164
TUV,2005,93,9997.0,0.9302790837251175
TUV,2006,94,10118.0,0.9290373591618897
TUV,2007,95,10219.0,0.9296408650552892
TUV,2008,96,10315.0,0.930683470673776
TUV,2009,97,10413.0,0.9315278978200326
TUV,2010,97,10521.0,0.9219655926242752
TUV,2011,98,10626.0,0.922266139657444
TUV,2012,98,10744.0,0.9121370067014147
TUV,2013,99,10849.0,0.9125265001382616
TUV,2014,100,10973.0,0.9113278046113187
TUV,2015,100,11099.0,0.9009820704567979
TUV,2016,101,11232.0,0.8992165242165242
TUV,2017,102,11365.0,0.8974923009238892
TUV,2018,102,11505.0,0.8865710560625816
TUV,2019,104,11655.0,0.8923208923208923
