cca3,Year,Death Numbers,population,Death Rate
TWN,1990,102394,2.0478516E7,0.5000069340962011
TWN,1991,103474,2.0679072E7,0.5003802878581786
TWN,1992,106263,2.0868148E7,0.509211454701203
TWN,1993,108310,2.10447E7,0.5146664005664133
TWN,1994,111843,2.1207424E7,0.5273766394258916
TWN,1995,115984,2.1356025E7,0.5430973226525068
TWN,1996,119783,2.1488994E7,0.557415577481198
TWN,1997,119182,2.1608309E7,0.5515563480696245
TWN,1998,121333,2.1721513E7,0.5585844779781224
TWN,1999,123996,2.1838635E7,0.5677827391684508
TWN,2000,124997,2.1966528E7,0.5690339410943778
TWN,2001,127092,2.2108715E7,0.5748502343985166
TWN,2002,126912,2.2262297E7,0.5700759449934568
TWN,2003,129909,2.2419785E7,0.5794390981001825
TWN,2004,134515,2.2570229E7,0.5959842055656591
TWN,2005,139047,2.2705719E7,0.6123875663219474
TWN,2006,138159,2.2823846E7,0.6053274281643856
TWN,2007,139706,2.2927222E7,0.6093455194877077
TWN,2008,141539,2.3019042E7,0.6148778910955547
TWN,2009,142486,2.3104542E7,0.61670125293979
TWN,2010,144165,2.3187556E7,0.6217343475095003
TWN,2011,151696,2.326876E7,0.6519298836723573
TWN,2012,153242,2.3346898E7,0.6563698526459489
TWN,2013,153802,2.3421582E7,0.6566678544600446
TWN,2014,160764,2.3491976E7,0.6843357919316791
TWN,2015,161615,2.3557473E7,0.6860455703377013
TWN,2016,169494,2.3618201E7,0.7176414494905856
TWN,2017,173809,2.3674546E7,0.7341598018394947
TWN,2018,177559,2.372646E7,0.7483585836235157
TWN,2019,182622,2.3773881E7,0.7681623374828872
