cca3,Year,Death Numbers,population,Death Rate
UKR,1990,611176,5.1463101E7,1.1876004129638438
UKR,1991,646055,5.1461273E7,1.255419779452405
UKR,1992,679578,5.1415957E7,1.3217258603199782
UKR,1993,712498,5.1316013E7,1.3884515930729069
UKR,1994,740505,5.1147771E7,1.4477757007240843
UKR,1995,780786,5.0903783E7,1.5338467084067209
UKR,1996,763595,5.0580467E7,1.5096637996640085
UKR,1997,736917,5.018728E7,1.4683342073927896
UKR,1998,699197,4.9746523E7,1.4055193364971459
UKR,1999,720752,4.9288739E7,1.4623056191394956
UKR,2000,739971,4.8838058E7,1.5151523838232879
UKR,2001,729416,4.8401648E7,1.5070065382897706
UKR,2002,739674,4.7980033E7,1.541628785457484
UKR,2003,738929,4.7582463E7,1.5529439911506893
UKR,2004,751290,4.7217489E7,1.5911265421166296
UKR,2005,765509,4.6890775E7,1.6325364637287398
UKR,2006,738189,4.6607397E7,1.5838451565960656
UKR,2007,754908,4.6366347E7,1.62813775258163
UKR,2008,753583,4.6158709E7,1.6325911541416809
UKR,2009,689045,4.5970942E7,1.4988707431751127
UKR,2010,670054,4.5792086E7,1.4632528424234703
UKR,2011,647812,4.561985E7,1.4200222052461813
UKR,2012,649299,4.5453805E7,1.4284810699566295
UKR,2013,642672,4.5286988E7,1.4191096126772662
UKR,2014,620618,4.511153E7,1.3757414124504312
UKR,2015,721082,4.4921636E7,1.605199775003742
UKR,2016,699121,4.4713708E7,1.563549594231818
UKR,2017,695144,4.4487708E7,1.5625529640681872
UKR,2018,706900,4.4246158E7,1.597652840275985
UKR,2019,703434,4.3993643E7,1.5989446475255527
