cca3,Year,Death Numbers,population,Death Rate
UZB,1990,127726,2.0398347E7,0.626158580398696
UZB,1991,133371,2.0884862E7,0.6386012988737967
UZB,1992,141944,2.1375114E7,0.6640619554122612
UZB,1993,154345,2.1861974E7,0.7059975462417072
UZB,1994,164357,2.2336202E7,0.7358323496537147
UZB,1995,170876,2.2791033E7,0.7497510095308098
UZB,1996,176464,2.3225303E7,0.7597920251029664
UZB,1997,176425,2.3640487E7,0.7462832724215875
UZB,1998,177736,2.4036017E7,0.7394569574484824
UZB,1999,177763,2.4412051E7,0.7281772432803783
UZB,2000,183872,2.4769955E7,0.742318667918452
UZB,2001,186760,2.5108554E7,0.743810256855094
UZB,2002,191269,2.5431116E7,0.7521061993504335
UZB,2003,195406,2.5749109E7,0.7588845113048377
UZB,2004,199221,2.6077614E7,0.7639540948799993
UZB,2005,206375,2.6427785E7,0.7809016154778011
UZB,2006,200789,2.6804067E7,0.749099007997555
UZB,2007,198846,2.7204711E7,0.7309248754746926
UZB,2008,198191,2.7626981E7,0.7173820404046319
UZB,2009,194762,2.8065469E7,0.693955978430291
UZB,2010,194181,2.8515908E7,0.6809567487733513
UZB,2011,197810,2.8977006E7,0.682644714916372
UZB,2012,200765,2.9449415E7,0.6817283127695406
UZB,2013,200528,2.993263E7,0.6699311086262717
UZB,2014,201663,3.0426394E7,0.6627896818794893
UZB,2015,203542,3.0929556E7,0.6580825149898692
UZB,2016,204984,3.1441753E7,0.6519483821401434
UZB,2017,206040,3.1959774E7,0.6446854098530234
UZB,2018,207571,3.2476232E7,0.639147423260186
UZB,2019,208103,3.2981714E7,0.630964782485228
