cca3,Year,Death Numbers,population,Death Rate
VEN,1990,83220,1.9632665E7,0.42388539711750794
VEN,1991,83141,2.0096314E7,0.4137126838284872
VEN,1992,86281,2.0557694E7,0.41970174281220457
VEN,1993,89948,2.10169E7,0.4279793880163107
VEN,1994,96369,2.1474553E7,0.4487590498391282
VEN,1995,96734,2.1931087E7,0.44108164816454376
VEN,1996,95147,2.238565E7,0.4250356813405016
VEN,1997,93470,2.2837743E7,0.4092786226730023
VEN,1998,97394,2.3288567E7,0.41820520773133013
VEN,1999,130310,2.3739835E7,0.5489086170986446
VEN,2000,103053,2.4192449E7,0.4259717567245879
VEN,2001,107296,2.4646471E7,0.4353402156438543
VEN,2002,111844,2.5100407E7,0.4455864002523943
VEN,2003,119432,2.5551624E7,0.46741451737079415
VEN,2004,115096,2.5996594E7,0.4427349213516202
VEN,2005,116567,2.6432445E7,0.4409996880727455
VEN,2006,122520,2.685019E7,0.4563096201553881
VEN,2007,128400,2.7247601E7,0.4712341464483424
VEN,2008,134831,2.7635827E7,0.4878848025789132
VEN,2009,137707,2.803101E7,0.49126663648580626
VEN,2010,135069,2.8439942E7,0.4749271288949886
VEN,2011,138985,2.8887873E7,0.4811188418060409
VEN,2012,145551,2.9360827E7,0.4957319492397132
VEN,2013,147172,2.9781046E7,0.4941800902493485
VEN,2014,151658,3.0042973E7,0.5048035692073484
VEN,2015,155755,3.0081827E7,0.5177710781994723
VEN,2016,160293,2.9851249E7,0.5369725065775305
VEN,2017,164002,2.940248E7,0.5577828808998425
VEN,2018,169289,2.8887117E7,0.5860363289282209
VEN,2019,181325,2.8515829E7,0.6358749030231595
