cca3,Year,Death Numbers,population,Death Rate
VUT,1990,1051,146575.0,0.7170390585024732
VUT,1991,1071,150718.0,0.710598601361483
VUT,1992,1101,155176.0,0.7095169356085993
VUT,1993,1127,159743.0,0.7055082225825232
VUT,1994,1146,164128.0,0.6982355234938584
VUT,1995,1168,168161.0,0.694572463294105
VUT,1996,1193,171721.0,0.6947315703961658
VUT,1997,1320,174917.0,0.7546436309792645
VUT,1998,1244,177987.0,0.6989274497575666
VUT,1999,1332,181259.0,0.7348600621210533
VUT,2000,1317,184964.0,0.7120304491684868
VUT,2001,1352,189209.0,0.7145537474433034
VUT,2002,1391,193927.0,0.717280213688656
VUT,2003,1423,198960.0,0.7152191395255328
VUT,2004,1460,204123.0,0.7152550178078904
VUT,2005,1503,209282.0,0.7181697422616374
VUT,2006,1541,214379.0,0.7188204068495515
VUT,2007,1597,219464.0,0.727681988845551
VUT,2008,1641,224700.0,0.7303070761014686
VUT,2009,1688,230244.0,0.7331352825697955
VUT,2010,1724,236216.0,0.729840484979849
VUT,2011,1774,242658.0,0.7310700656891592
VUT,2012,1809,249505.0,0.7250355704294503
VUT,2013,1853,256637.0,0.7220315075378843
VUT,2014,1913,263888.0,0.7249287576547626
VUT,2015,1960,271128.0,0.7229057861969255
VUT,2016,2009,278326.0,0.7218154250770679
VUT,2017,2059,285499.0,0.7211934192413983
VUT,2018,2104,292675.0,0.7188861364995301
VUT,2019,2153,299882.0,0.7179490599635857
