cca3,Year,Death Numbers,population,Death Rate
YEM,1990,126712,1.1709987E7,1.0820848904443703
YEM,1991,126966,1.2302127E7,1.0320654306365071
YEM,1992,127570,1.2954157E7,0.9847804067837066
YEM,1993,128218,1.3634082E7,0.9404226848569637
YEM,1994,130017,1.4297617E7,0.9093613292340954
YEM,1995,128999,1.4913313E7,0.8649922388137363
YEM,1996,130018,1.5469274E7,0.840491932588433
YEM,1997,130389,1.5975676E7,0.8161720355370251
YEM,1998,130764,1.6450306E7,0.7949031464825032
YEM,1999,130711,1.6921157E7,0.7724708186325557
YEM,2000,130667,1.7409071E7,0.7505684823733558
YEM,2001,130603,1.7918369E7,0.7288777231900961
YEM,2002,132320,1.8443684E7,0.7174271691056949
YEM,2003,132662,1.8985001E7,0.6987726784949866
YEM,2004,132388,1.9540096E7,0.6775197010291044
YEM,2005,131823,2.0107416E7,0.6555939360880583
YEM,2006,131474,2.0687648E7,0.6355193205143475
YEM,2007,133880,2.1282514E7,0.6290610216443415
YEM,2008,134620,2.1892149E7,0.6149236422609767
YEM,2009,134529,2.2516464E7,0.5974694783337205
YEM,2010,134634,2.3154854E7,0.5814504379945561
YEM,2011,136045,2.3807586E7,0.5714355079931246
YEM,2012,137682,2.4473176E7,0.5625832952780627
YEM,2013,135438,2.5147112E7,0.5385827207513928
YEM,2014,138521,2.5823488E7,0.536414755435052
YEM,2015,145909,2.6497881E7,0.5506440307434395
YEM,2016,155832,2.716821E7,0.5735821388306407
YEM,2017,160614,2.7834811E7,0.5770256532368767
YEM,2018,176125,2.8498683E7,0.6180110147546116
YEM,2019,161494,2.9161922E7,0.5537838006699284
