cca3,Year,Death Numbers,population,Death Rate
ZAF,1990,277789,3.6800507E7,0.7548510133297891
ZAF,1991,284102,3.7718952E7,0.7532075652579107
ZAF,1992,303771,3.8672611E7,0.7854938990284364
ZAF,1993,300737,3.9633754E7,0.7587900959369127
ZAF,1994,324253,4.0564061E7,0.7993603007351755
ZAF,1995,341319,4.1435761E7,0.8237304969492414
ZAF,1996,374025,4.2241007E7,0.8854547430651925
ZAF,1997,433668,4.2987456E7,1.0088245277878272
ZAF,1998,476953,4.3682259E7,1.0918688980805686
ZAF,1999,505980,4.4338551E7,1.141173963939417
ZAF,2000,557055,4.4967713E7,1.2387888172120296
ZAF,2001,589953,4.5571272E7,1.2945721594077955
ZAF,2002,630961,4.6150913E7,1.3671690525385705
ZAF,2003,670562,4.6719203E7,1.4353027383622106
ZAF,2004,696432,4.729161E7,1.4726333064152395
ZAF,2005,713445,4.7880595E7,1.4900504055975077
ZAF,2006,724253,4.8489464E7,1.4936296264277122
ZAF,2007,708584,4.9119766E7,1.4425638754060839
ZAF,2008,689064,4.9779472E7,1.3842332437756673
ZAF,2009,661881,5.0477013E7,1.3112523120177495
ZAF,2010,634171,5.1216967E7,1.23820490971283
ZAF,2011,598850,5.2003759E7,1.1515513715075867
ZAF,2012,567520,5.2832659E7,1.0741840572514059
ZAF,2013,546499,5.3687125E7,1.0179330705453122
ZAF,2014,544160,5.4544184E7,0.9976499052584598
ZAF,2015,545077,5.5386369E7,0.9841356453606844
ZAF,2016,545414,5.6207649E7,0.9703554759958026
ZAF,2017,541730,5.7009751E7,0.9502409508857529
ZAF,2018,515531,5.779252E7,0.8920375854868415
ZAF,2019,505389,5.8558267E7,0.8630532047678255
