cca3,Year,Death Numbers,population,Death Rate
ZWE,1990,74764,1.0432409E7,0.7166513506132668
ZWE,1991,80498,1.0681008E7,0.7536554602337158
ZWE,1992,89233,1.0900511E7,0.8186129989685804
ZWE,1993,99673,1.1092775E7,0.8985398153302487
ZWE,1994,110381,1.1261752E7,0.9801405678263915
ZWE,1995,123366,1.1410721E7,1.0811411478731274
ZWE,1996,134676,1.1541215E7,1.166913535533304
ZWE,1997,145920,1.1653254E7,1.2521824376264348
ZWE,1998,158399,1.1747079E7,1.3484118051815264
ZWE,1999,170316,1.1822722E7,1.4405819573529683
ZWE,2000,180521,1.1881482E7,1.5193475022728646
ZWE,2001,186038,1.1923906E7,1.5602102197048517
ZWE,2002,191569,1.1954293E7,1.602512168641006
ZWE,2003,195136,1.1982219E7,1.6285464320089624
ZWE,2004,196857,1.2019911E7,1.637757550783862
ZWE,2005,194782,1.2076697E7,1.612874778592193
ZWE,2006,191229,1.2155496E7,1.5731896090459823
ZWE,2007,186562,1.225592E7,1.522219466184505
ZWE,2008,182863,1.2379553E7,1.477137340903989
ZWE,2009,174908,1.2526964E7,1.3962521166341662
ZWE,2010,161413,1.2697728E7,1.2711959178838923
ZWE,2011,149614,1.2894323E7,1.160309075552086
ZWE,2012,140597,1.3115149E7,1.0720198451424379
ZWE,2013,135077,1.3350378E7,1.0117840858138998
ZWE,2014,132306,1.358671E7,0.9737898284426472
ZWE,2015,130079,1.3814642E7,0.9416023954873388
ZWE,2016,128275,1.4030338E7,0.914268779554705
ZWE,2017,126515,1.4236599E7,0.8886602762359185
ZWE,2018,123506,1.4438812E7,0.8553750821050929
ZWE,2019,123540,1.4645473E7,0.8435371121164881
