Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),44899,Afghanistan,AFG,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),23741,Afghanistan,AFG,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),15612,Afghanistan,AFG,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),11580,Afghanistan,AFG,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),5945,Afghanistan,AFG,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),5005,Afghanistan,AFG,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),4661,Afghanistan,AFG,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),4235,Afghanistan,AFG,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),4154,Afghanistan,AFG,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3709,Afghanistan,AFG,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),2985,Afghanistan,AFG,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2673,Afghanistan,AFG,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),2655,Afghanistan,AFG,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2159,Afghanistan,AFG,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2108,Afghanistan,AFG,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),2087,Afghanistan,AFG,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),2054,Afghanistan,AFG,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1538,Afghanistan,AFG,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1490,Afghanistan,AFG,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1370,Afghanistan,AFG,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1116,Afghanistan,AFG,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),696,Afghanistan,AFG,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),371,Afghanistan,AFG,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),338,Afghanistan,AFG,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",323,Afghanistan,AFG,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),175,Afghanistan,AFG,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),93,Afghanistan,AFG,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),93,Afghanistan,AFG,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),72,Afghanistan,AFG,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),34,Afghanistan,AFG,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,12,Afghanistan,AFG,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Afghanistan,AFG,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Afghanistan,AFG,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),45492,Afghanistan,AFG,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),24504,Afghanistan,AFG,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),17128,Afghanistan,AFG,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),11796,Afghanistan,AFG,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),6050,Afghanistan,AFG,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),5120,Afghanistan,AFG,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),4927,Afghanistan,AFG,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),4743,Afghanistan,AFG,1991
