Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),10672,Armenia,ARM,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4136,Armenia,ARM,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1155,Armenia,ARM,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1147,Armenia,ARM,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1078,Armenia,ARM,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),802,Armenia,ARM,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),551,Armenia,ARM,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),495,Armenia,ARM,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),406,Armenia,ARM,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),385,Armenia,ARM,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),359,Armenia,ARM,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),320,Armenia,ARM,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",230,Armenia,ARM,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),183,Armenia,ARM,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),179,Armenia,ARM,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),109,Armenia,ARM,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),105,Armenia,ARM,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),88,Armenia,ARM,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),83,Armenia,ARM,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),76,Armenia,ARM,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),68,Armenia,ARM,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),57,Armenia,ARM,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),31,Armenia,ARM,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),25,Armenia,ARM,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),24,Armenia,ARM,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),23,Armenia,ARM,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),8,Armenia,ARM,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),5,Armenia,ARM,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1,Armenia,ARM,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Armenia,ARM,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Armenia,ARM,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Armenia,ARM,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Armenia,ARM,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),11395,Armenia,ARM,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4274,Armenia,ARM,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1095,Armenia,ARM,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1060,Armenia,ARM,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1035,Armenia,ARM,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),848,Armenia,ARM,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),569,Armenia,ARM,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),556,Armenia,ARM,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),441,Armenia,ARM,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),370,Armenia,ARM,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),364,Armenia,ARM,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),312,Armenia,ARM,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),230,Armenia,ARM,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",221,Armenia,ARM,1991
