Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),23070,Azerbaijan,AZE,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8617,Azerbaijan,AZE,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),6953,Azerbaijan,AZE,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),3087,Azerbaijan,AZE,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2311,Azerbaijan,AZE,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1934,Azerbaijan,AZE,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1604,Azerbaijan,AZE,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1560,Azerbaijan,AZE,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1108,Azerbaijan,AZE,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),908,Azerbaijan,AZE,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),901,Azerbaijan,AZE,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),759,Azerbaijan,AZE,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),613,Azerbaijan,AZE,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),599,Azerbaijan,AZE,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),527,Azerbaijan,AZE,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",525,Azerbaijan,AZE,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),224,Azerbaijan,AZE,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),163,Azerbaijan,AZE,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),161,Azerbaijan,AZE,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),148,Azerbaijan,AZE,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),147,Azerbaijan,AZE,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),134,Azerbaijan,AZE,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),123,Azerbaijan,AZE,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),118,Azerbaijan,AZE,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),75,Azerbaijan,AZE,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),74,Azerbaijan,AZE,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),31,Azerbaijan,AZE,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),14,Azerbaijan,AZE,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),14,Azerbaijan,AZE,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),2,Azerbaijan,AZE,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Azerbaijan,AZE,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Azerbaijan,AZE,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Azerbaijan,AZE,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),24301,Azerbaijan,AZE,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8456,Azerbaijan,AZE,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),7121,Azerbaijan,AZE,1991
