Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),14171,Burundi,BDI,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),9570,Burundi,BDI,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),8942,Burundi,BDI,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8711,Burundi,BDI,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8583,Burundi,BDI,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),7764,Burundi,BDI,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),6301,Burundi,BDI,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),4071,Burundi,BDI,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),3924,Burundi,BDI,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),3494,Burundi,BDI,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2403,Burundi,BDI,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2249,Burundi,BDI,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1723,Burundi,BDI,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1459,Burundi,BDI,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1348,Burundi,BDI,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1252,Burundi,BDI,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1038,Burundi,BDI,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),741,Burundi,BDI,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),615,Burundi,BDI,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),368,Burundi,BDI,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",246,Burundi,BDI,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),235,Burundi,BDI,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),232,Burundi,BDI,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),135,Burundi,BDI,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),79,Burundi,BDI,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),65,Burundi,BDI,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),50,Burundi,BDI,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),44,Burundi,BDI,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),7,Burundi,BDI,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),7,Burundi,BDI,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Burundi,BDI,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Burundi,BDI,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Burundi,BDI,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),14286,Burundi,BDI,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),9565,Burundi,BDI,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),8926,Burundi,BDI,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8761,Burundi,BDI,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8438,Burundi,BDI,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),8330,Burundi,BDI,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),7536,Burundi,BDI,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),3968,Burundi,BDI,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),3824,Burundi,BDI,1991
