Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),39927,Belgium,BEL,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),30372,Belgium,BEL,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),6494,Belgium,BEL,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4303,Belgium,BEL,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),3460,Belgium,BEL,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),3212,Belgium,BEL,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),2187,Belgium,BEL,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2100,Belgium,BEL,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1844,Belgium,BEL,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1766,Belgium,BEL,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1419,Belgium,BEL,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),726,Belgium,BEL,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),428,Belgium,BEL,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),242,Belgium,BEL,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),184,Belgium,BEL,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),160,Belgium,BEL,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",135,Belgium,BEL,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),132,Belgium,BEL,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),125,Belgium,BEL,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),102,Belgium,BEL,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),96,Belgium,BEL,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),71,Belgium,BEL,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),62,Belgium,BEL,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),58,Belgium,BEL,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),46,Belgium,BEL,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),28,Belgium,BEL,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),22,Belgium,BEL,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),21,Belgium,BEL,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),16,Belgium,BEL,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),9,Belgium,BEL,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,2,Belgium,BEL,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Belgium,BEL,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Belgium,BEL,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),39022,Belgium,BEL,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),30386,Belgium,BEL,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),6593,Belgium,BEL,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4335,Belgium,BEL,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),3480,Belgium,BEL,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),3312,Belgium,BEL,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),2191,Belgium,BEL,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2051,Belgium,BEL,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1794,Belgium,BEL,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1764,Belgium,BEL,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1423,Belgium,BEL,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),729,Belgium,BEL,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),423,Belgium,BEL,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),250,Belgium,BEL,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),183,Belgium,BEL,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),163,Belgium,BEL,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),155,Belgium,BEL,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",139,Belgium,BEL,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),119,Belgium,BEL,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),103,Belgium,BEL,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),99,Belgium,BEL,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),81,Belgium,BEL,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),68,Belgium,BEL,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),59,Belgium,BEL,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),54,Belgium,BEL,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),52,Belgium,BEL,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),30,Belgium,BEL,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),19,Belgium,BEL,1991
