Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8732,Benin,BEN,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),8284,Benin,BEN,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),7514,Benin,BEN,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),5934,Benin,BEN,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),5564,Benin,BEN,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2620,Benin,BEN,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),2591,Benin,BEN,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),2532,Benin,BEN,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2130,Benin,BEN,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2056,Benin,BEN,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1910,Benin,BEN,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1340,Benin,BEN,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1145,Benin,BEN,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1060,Benin,BEN,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1053,Benin,BEN,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),747,Benin,BEN,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),533,Benin,BEN,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),341,Benin,BEN,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),327,Benin,BEN,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),282,Benin,BEN,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),259,Benin,BEN,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),206,Benin,BEN,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",191,Benin,BEN,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),132,Benin,BEN,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),85,Benin,BEN,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),51,Benin,BEN,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),37,Benin,BEN,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),32,Benin,BEN,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),5,Benin,BEN,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Benin,BEN,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Benin,BEN,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Benin,BEN,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Benin,BEN,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8752,Benin,BEN,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),8415,Benin,BEN,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),7786,Benin,BEN,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),6030,Benin,BEN,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),5734,Benin,BEN,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2635,Benin,BEN,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),2537,Benin,BEN,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),2479,Benin,BEN,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2178,Benin,BEN,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2117,Benin,BEN,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1958,Benin,BEN,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1340,Benin,BEN,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1174,Benin,BEN,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1087,Benin,BEN,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1056,Benin,BEN,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),764,Benin,BEN,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),554,Benin,BEN,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),367,Benin,BEN,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),331,Benin,BEN,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),292,Benin,BEN,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),271,Benin,BEN,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),211,Benin,BEN,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",194,Benin,BEN,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),151,Benin,BEN,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),136,Benin,BEN,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),85,Benin,BEN,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),38,Benin,BEN,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),32,Benin,BEN,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),5,Benin,BEN,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),3,Benin,BEN,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Benin,BEN,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Benin,BEN,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Benin,BEN,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8764,Benin,BEN,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),8539,Benin,BEN,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),7565,Benin,BEN,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),6126,Benin,BEN,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),5854,Benin,BEN,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2647,Benin,BEN,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),2473,Benin,BEN,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),2416,Benin,BEN,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2225,Benin,BEN,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2060,Benin,BEN,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2004,Benin,BEN,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1333,Benin,BEN,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1201,Benin,BEN,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1113,Benin,BEN,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1048,Benin,BEN,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),780,Benin,BEN,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),575,Benin,BEN,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),344,Benin,BEN,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),335,Benin,BEN,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),317,Benin,BEN,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),303,Benin,BEN,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),287,Benin,BEN,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),215,Benin,BEN,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",198,Benin,BEN,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),141,Benin,BEN,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),87,Benin,BEN,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),40,Benin,BEN,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),33,Benin,BEN,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),5,Benin,BEN,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Benin,BEN,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Benin,BEN,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,Benin,BEN,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Benin,BEN,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8740,Benin,BEN,1993
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),8649,Benin,BEN,1993
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),7510,Benin,BEN,1993
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),6225,Benin,BEN,1993
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),5984,Benin,BEN,1993
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2646,Benin,BEN,1993
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),2394,Benin,BEN,1993
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),2338,Benin,BEN,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2277,Benin,BEN,1993
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2082,Benin,BEN,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2054,Benin,BEN,1993
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1324,Benin,BEN,1993
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1231,Benin,BEN,1993
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1139,Benin,BEN,1993
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1019,Benin,BEN,1993
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),795,Benin,BEN,1993
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),598,Benin,BEN,1993
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),579,Benin,BEN,1993
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),353,Benin,BEN,1993
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),341,Benin,BEN,1993
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),315,Benin,BEN,1993
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),304,Benin,BEN,1993
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),218,Benin,BEN,1993
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",203,Benin,BEN,1993
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),144,Benin,BEN,1993
