Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),69642,Bulgaria,BGR,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),17101,Bulgaria,BGR,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),4140,Bulgaria,BGR,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),3786,Bulgaria,BGR,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),3786,Bulgaria,BGR,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2246,Bulgaria,BGR,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2108,Bulgaria,BGR,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1788,Bulgaria,BGR,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1503,Bulgaria,BGR,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1464,Bulgaria,BGR,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),746,Bulgaria,BGR,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),606,Bulgaria,BGR,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),514,Bulgaria,BGR,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),380,Bulgaria,BGR,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),350,Bulgaria,BGR,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),289,Bulgaria,BGR,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),253,Bulgaria,BGR,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",181,Bulgaria,BGR,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),150,Bulgaria,BGR,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),113,Bulgaria,BGR,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),106,Bulgaria,BGR,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),41,Bulgaria,BGR,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),34,Bulgaria,BGR,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),30,Bulgaria,BGR,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),30,Bulgaria,BGR,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),14,Bulgaria,BGR,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),5,Bulgaria,BGR,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),2,Bulgaria,BGR,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),1,Bulgaria,BGR,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Bulgaria,BGR,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Bulgaria,BGR,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,Bulgaria,BGR,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Bulgaria,BGR,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),70746,Bulgaria,BGR,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),16338,Bulgaria,BGR,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),3932,Bulgaria,BGR,1991
