Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),13830,Bosnia and Herzegovina,BIH,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),5786,Bosnia and Herzegovina,BIH,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1315,Bosnia and Herzegovina,BIH,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1162,Bosnia and Herzegovina,BIH,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),759,Bosnia and Herzegovina,BIH,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),716,Bosnia and Herzegovina,BIH,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),589,Bosnia and Herzegovina,BIH,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),509,Bosnia and Herzegovina,BIH,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),488,Bosnia and Herzegovina,BIH,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),482,Bosnia and Herzegovina,BIH,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),471,Bosnia and Herzegovina,BIH,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),354,Bosnia and Herzegovina,BIH,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),341,Bosnia and Herzegovina,BIH,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),295,Bosnia and Herzegovina,BIH,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),272,Bosnia and Herzegovina,BIH,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),236,Bosnia and Herzegovina,BIH,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),187,Bosnia and Herzegovina,BIH,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),180,Bosnia and Herzegovina,BIH,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),87,Bosnia and Herzegovina,BIH,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",77,Bosnia and Herzegovina,BIH,1990
