Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),74467,Canada,CAN,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),53929,Canada,CAN,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),9319,Canada,CAN,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),7296,Canada,CAN,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),6576,Canada,CAN,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),6456,Canada,CAN,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),4330,Canada,CAN,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),4282,Canada,CAN,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),4086,Canada,CAN,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3144,Canada,CAN,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2642,Canada,CAN,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),1545,Canada,CAN,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1255,Canada,CAN,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),801,Canada,CAN,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),692,Canada,CAN,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),627,Canada,CAN,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",446,Canada,CAN,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),441,Canada,CAN,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),404,Canada,CAN,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),216,Canada,CAN,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),205,Canada,CAN,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),179,Canada,CAN,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),160,Canada,CAN,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),135,Canada,CAN,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),128,Canada,CAN,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),71,Canada,CAN,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),26,Canada,CAN,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),18,Canada,CAN,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),15,Canada,CAN,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Canada,CAN,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Canada,CAN,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Canada,CAN,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Canada,CAN,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),74607,Canada,CAN,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),55028,Canada,CAN,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),9654,Canada,CAN,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),7413,Canada,CAN,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),6761,Canada,CAN,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),6549,Canada,CAN,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),4549,Canada,CAN,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),4139,Canada,CAN,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),4137,Canada,CAN,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3186,Canada,CAN,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2801,Canada,CAN,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),1604,Canada,CAN,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1185,Canada,CAN,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),942,Canada,CAN,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),718,Canada,CAN,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),642,Canada,CAN,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),495,Canada,CAN,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",428,Canada,CAN,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),394,Canada,CAN,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),227,Canada,CAN,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),201,Canada,CAN,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),178,Canada,CAN,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),168,Canada,CAN,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),137,Canada,CAN,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),126,Canada,CAN,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),70,Canada,CAN,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),19,Canada,CAN,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),15,Canada,CAN,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),3,Canada,CAN,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Canada,CAN,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Canada,CAN,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Canada,CAN,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Canada,CAN,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),75001,Canada,CAN,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),56088,Canada,CAN,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),9995,Canada,CAN,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),7529,Canada,CAN,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),6945,Canada,CAN,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),6649,Canada,CAN,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),4796,Canada,CAN,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),4223,Canada,CAN,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),4014,Canada,CAN,1992
