Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),4140,Congo,COG,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),3511,Congo,COG,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),3349,Congo,COG,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2376,Congo,COG,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2044,Congo,COG,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),1943,Congo,COG,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1915,Congo,COG,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),1657,Congo,COG,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1056,Congo,COG,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),942,Congo,COG,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),789,Congo,COG,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),652,Congo,COG,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),577,Congo,COG,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),418,Congo,COG,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),392,Congo,COG,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),370,Congo,COG,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),366,Congo,COG,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),318,Congo,COG,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),302,Congo,COG,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),147,Congo,COG,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),131,Congo,COG,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),92,Congo,COG,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",73,Congo,COG,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),59,Congo,COG,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),47,Congo,COG,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),36,Congo,COG,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),31,Congo,COG,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),18,Congo,COG,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),9,Congo,COG,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Congo,COG,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Congo,COG,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,Congo,COG,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Congo,COG,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),4163,Congo,COG,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),4102,Congo,COG,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),3496,Congo,COG,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2341,Congo,COG,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2052,Congo,COG,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),2022,Congo,COG,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1939,Congo,COG,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),1671,Congo,COG,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1056,Congo,COG,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),946,Congo,COG,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),790,Congo,COG,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),651,Congo,COG,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),583,Congo,COG,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),420,Congo,COG,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),394,Congo,COG,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),370,Congo,COG,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),369,Congo,COG,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),310,Congo,COG,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),300,Congo,COG,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),147,Congo,COG,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),130,Congo,COG,1991
