Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),714,Comoros,COM,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),696,Comoros,COM,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),658,Comoros,COM,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),589,Comoros,COM,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),471,Comoros,COM,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),374,Comoros,COM,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),261,Comoros,COM,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),188,Comoros,COM,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),179,Comoros,COM,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),172,Comoros,COM,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),129,Comoros,COM,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),100,Comoros,COM,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),92,Comoros,COM,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),89,Comoros,COM,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),79,Comoros,COM,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),60,Comoros,COM,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),47,Comoros,COM,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),27,Comoros,COM,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),25,Comoros,COM,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),23,Comoros,COM,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),18,Comoros,COM,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",13,Comoros,COM,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),11,Comoros,COM,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),8,Comoros,COM,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),8,Comoros,COM,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),4,Comoros,COM,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),3,Comoros,COM,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),1,Comoros,COM,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),0,Comoros,COM,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Comoros,COM,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Comoros,COM,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Comoros,COM,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Comoros,COM,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),714,Comoros,COM,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),703,Comoros,COM,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),671,Comoros,COM,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),595,Comoros,COM,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),448,Comoros,COM,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),382,Comoros,COM,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),267,Comoros,COM,1991
