Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8464,Dominican Republic,DOM,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),5343,Dominican Republic,DOM,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),3366,Dominican Republic,DOM,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),3088,Dominican Republic,DOM,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2355,Dominican Republic,DOM,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2175,Dominican Republic,DOM,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1530,Dominican Republic,DOM,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1517,Dominican Republic,DOM,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),1286,Dominican Republic,DOM,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),1266,Dominican Republic,DOM,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1133,Dominican Republic,DOM,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),915,Dominican Republic,DOM,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),837,Dominican Republic,DOM,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),800,Dominican Republic,DOM,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),704,Dominican Republic,DOM,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),584,Dominican Republic,DOM,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),512,Dominican Republic,DOM,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),352,Dominican Republic,DOM,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),292,Dominican Republic,DOM,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),276,Dominican Republic,DOM,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),208,Dominican Republic,DOM,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",164,Dominican Republic,DOM,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),114,Dominican Republic,DOM,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),71,Dominican Republic,DOM,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),68,Dominican Republic,DOM,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),57,Dominican Republic,DOM,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),10,Dominican Republic,DOM,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),9,Dominican Republic,DOM,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),7,Dominican Republic,DOM,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),3,Dominican Republic,DOM,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,3,Dominican Republic,DOM,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Dominican Republic,DOM,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Dominican Republic,DOM,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8462,Dominican Republic,DOM,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),5270,Dominican Republic,DOM,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),3441,Dominican Republic,DOM,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),3071,Dominican Republic,DOM,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2341,Dominican Republic,DOM,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2121,Dominican Republic,DOM,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1540,Dominican Republic,DOM,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1519,Dominican Republic,DOM,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),1201,Dominican Republic,DOM,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),1182,Dominican Republic,DOM,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1078,Dominican Republic,DOM,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),893,Dominican Republic,DOM,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),855,Dominican Republic,DOM,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),835,Dominican Republic,DOM,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),679,Dominican Republic,DOM,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),628,Dominican Republic,DOM,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),589,Dominican Republic,DOM,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),540,Dominican Republic,DOM,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),281,Dominican Republic,DOM,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),276,Dominican Republic,DOM,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),210,Dominican Republic,DOM,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",157,Dominican Republic,DOM,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),114,Dominican Republic,DOM,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),70,Dominican Republic,DOM,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),66,Dominican Republic,DOM,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),54,Dominican Republic,DOM,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),10,Dominican Republic,DOM,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),10,Dominican Republic,DOM,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),9,Dominican Republic,DOM,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),7,Dominican Republic,DOM,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1,Dominican Republic,DOM,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,1,Dominican Republic,DOM,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Dominican Republic,DOM,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8482,Dominican Republic,DOM,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),5183,Dominican Republic,DOM,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),3515,Dominican Republic,DOM,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2962,Dominican Republic,DOM,1992
