Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),53488,Algeria,DZA,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),17931,Algeria,DZA,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),13438,Algeria,DZA,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10571,Algeria,DZA,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8125,Algeria,DZA,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4410,Algeria,DZA,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),3981,Algeria,DZA,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3559,Algeria,DZA,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2908,Algeria,DZA,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2401,Algeria,DZA,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1743,Algeria,DZA,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1634,Algeria,DZA,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1405,Algeria,DZA,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1337,Algeria,DZA,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1207,Algeria,DZA,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",1113,Algeria,DZA,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),939,Algeria,DZA,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),839,Algeria,DZA,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),491,Algeria,DZA,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),486,Algeria,DZA,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),485,Algeria,DZA,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),453,Algeria,DZA,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),439,Algeria,DZA,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),422,Algeria,DZA,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),171,Algeria,DZA,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),75,Algeria,DZA,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),44,Algeria,DZA,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),35,Algeria,DZA,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),9,Algeria,DZA,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),4,Algeria,DZA,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,3,Algeria,DZA,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Algeria,DZA,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Algeria,DZA,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),54722,Algeria,DZA,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),17421,Algeria,DZA,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),13120,Algeria,DZA,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10917,Algeria,DZA,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),7701,Algeria,DZA,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4481,Algeria,DZA,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4033,Algeria,DZA,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3640,Algeria,DZA,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2598,Algeria,DZA,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2456,Algeria,DZA,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1787,Algeria,DZA,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1541,Algeria,DZA,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1411,Algeria,DZA,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1388,Algeria,DZA,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1136,Algeria,DZA,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",1078,Algeria,DZA,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),884,Algeria,DZA,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),794,Algeria,DZA,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),484,Algeria,DZA,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),478,Algeria,DZA,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),469,Algeria,DZA,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),451,Algeria,DZA,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),439,Algeria,DZA,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),408,Algeria,DZA,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),179,Algeria,DZA,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),76,Algeria,DZA,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),76,Algeria,DZA,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),50,Algeria,DZA,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,42,Algeria,DZA,1991
