Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),10410,Eritrea,ERI,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),7375,Eritrea,ERI,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),5267,Eritrea,ERI,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),4564,Eritrea,ERI,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),4433,Eritrea,ERI,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),3992,Eritrea,ERI,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),2867,Eritrea,ERI,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2862,Eritrea,ERI,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),1309,Eritrea,ERI,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),976,Eritrea,ERI,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),747,Eritrea,ERI,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),723,Eritrea,ERI,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),704,Eritrea,ERI,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),610,Eritrea,ERI,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),605,Eritrea,ERI,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),557,Eritrea,ERI,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),472,Eritrea,ERI,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),358,Eritrea,ERI,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),247,Eritrea,ERI,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),230,Eritrea,ERI,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),182,Eritrea,ERI,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),151,Eritrea,ERI,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",107,Eritrea,ERI,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),95,Eritrea,ERI,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),75,Eritrea,ERI,1990
