Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),11068,Estonia,EST,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),3486,Estonia,EST,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),473,Estonia,EST,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),457,Estonia,EST,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),429,Estonia,EST,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),332,Estonia,EST,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),330,Estonia,EST,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),219,Estonia,EST,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),217,Estonia,EST,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),204,Estonia,EST,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),184,Estonia,EST,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",153,Estonia,EST,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),143,Estonia,EST,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),139,Estonia,EST,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),138,Estonia,EST,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),91,Estonia,EST,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),84,Estonia,EST,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),75,Estonia,EST,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),60,Estonia,EST,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),52,Estonia,EST,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),23,Estonia,EST,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),23,Estonia,EST,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),16,Estonia,EST,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),12,Estonia,EST,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),7,Estonia,EST,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),3,Estonia,EST,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),3,Estonia,EST,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1,Estonia,EST,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Estonia,EST,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Estonia,EST,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Estonia,EST,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Estonia,EST,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Estonia,EST,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),11356,Estonia,EST,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),3605,Estonia,EST,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),504,Estonia,EST,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),475,Estonia,EST,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),452,Estonia,EST,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),338,Estonia,EST,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),335,Estonia,EST,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),234,Estonia,EST,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),229,Estonia,EST,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),226,Estonia,EST,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),205,Estonia,EST,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",164,Estonia,EST,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),154,Estonia,EST,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),147,Estonia,EST,1991
