Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),290792,United Kingdom,GBR,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),169769,United Kingdom,GBR,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),37837,United Kingdom,GBR,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),37657,United Kingdom,GBR,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),21016,United Kingdom,GBR,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),18423,United Kingdom,GBR,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),7802,United Kingdom,GBR,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),6236,United Kingdom,GBR,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),5826,United Kingdom,GBR,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),4970,United Kingdom,GBR,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),4899,United Kingdom,GBR,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),4817,United Kingdom,GBR,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),3015,United Kingdom,GBR,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),867,United Kingdom,GBR,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",780,United Kingdom,GBR,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),727,United Kingdom,GBR,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),609,United Kingdom,GBR,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),542,United Kingdom,GBR,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),457,United Kingdom,GBR,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),451,United Kingdom,GBR,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),433,United Kingdom,GBR,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),284,United Kingdom,GBR,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),233,United Kingdom,GBR,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),204,United Kingdom,GBR,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),126,United Kingdom,GBR,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),120,United Kingdom,GBR,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),86,United Kingdom,GBR,1990
