Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),35627,Georgia,GEO,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8161,Georgia,GEO,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2211,Georgia,GEO,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1925,Georgia,GEO,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1719,Georgia,GEO,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1545,Georgia,GEO,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1313,Georgia,GEO,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1196,Georgia,GEO,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),848,Georgia,GEO,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),695,Georgia,GEO,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),489,Georgia,GEO,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),468,Georgia,GEO,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",380,Georgia,GEO,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),352,Georgia,GEO,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),314,Georgia,GEO,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),310,Georgia,GEO,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),258,Georgia,GEO,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),167,Georgia,GEO,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),159,Georgia,GEO,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),107,Georgia,GEO,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),76,Georgia,GEO,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),36,Georgia,GEO,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),26,Georgia,GEO,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),20,Georgia,GEO,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),15,Georgia,GEO,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),12,Georgia,GEO,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),4,Georgia,GEO,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2,Georgia,GEO,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Georgia,GEO,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Georgia,GEO,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Georgia,GEO,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Georgia,GEO,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Georgia,GEO,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),36558,Georgia,GEO,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8108,Georgia,GEO,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2226,Georgia,GEO,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1811,Georgia,GEO,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1743,Georgia,GEO,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1476,Georgia,GEO,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1331,Georgia,GEO,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1053,Georgia,GEO,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),876,Georgia,GEO,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),694,Georgia,GEO,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),497,Georgia,GEO,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),462,Georgia,GEO,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",386,Georgia,GEO,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),359,Georgia,GEO,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),317,Georgia,GEO,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),317,Georgia,GEO,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),260,Georgia,GEO,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),154,Georgia,GEO,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),143,Georgia,GEO,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),110,Georgia,GEO,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),68,Georgia,GEO,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),53,Georgia,GEO,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),36,Georgia,GEO,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),21,Georgia,GEO,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),16,Georgia,GEO,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),14,Georgia,GEO,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),11,Georgia,GEO,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),8,Georgia,GEO,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),4,Georgia,GEO,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2,Georgia,GEO,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,2,Georgia,GEO,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Georgia,GEO,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Georgia,GEO,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),37419,Georgia,GEO,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),7864,Georgia,GEO,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2234,Georgia,GEO,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1749,Georgia,GEO,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1697,Georgia,GEO,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1404,Georgia,GEO,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1286,Georgia,GEO,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),966,Georgia,GEO,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),900,Georgia,GEO,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),819,Georgia,GEO,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),702,Georgia,GEO,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),543,Georgia,GEO,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),452,Georgia,GEO,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",406,Georgia,GEO,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),364,Georgia,GEO,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),330,Georgia,GEO,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),260,Georgia,GEO,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),246,Georgia,GEO,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),151,Georgia,GEO,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),135,Georgia,GEO,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),124,Georgia,GEO,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,109,Georgia,GEO,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),63,Georgia,GEO,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),37,Georgia,GEO,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),23,Georgia,GEO,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),15,Georgia,GEO,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),8,Georgia,GEO,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),8,Georgia,GEO,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),4,Georgia,GEO,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2,Georgia,GEO,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),1,Georgia,GEO,1992
