Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),4455,Honduras,HND,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),3413,Honduras,HND,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2792,Honduras,HND,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2786,Honduras,HND,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2208,Honduras,HND,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1732,Honduras,HND,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1533,Honduras,HND,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1274,Honduras,HND,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1125,Honduras,HND,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),736,Honduras,HND,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),564,Honduras,HND,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),523,Honduras,HND,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),479,Honduras,HND,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),386,Honduras,HND,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),357,Honduras,HND,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),335,Honduras,HND,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),273,Honduras,HND,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),253,Honduras,HND,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),203,Honduras,HND,1990
