Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),16501,Haiti,HTI,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),9865,Haiti,HTI,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8644,Haiti,HTI,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),5836,Haiti,HTI,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),4447,Haiti,HTI,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),3306,Haiti,HTI,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2922,Haiti,HTI,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),2649,Haiti,HTI,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2628,Haiti,HTI,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),2580,Haiti,HTI,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2420,Haiti,HTI,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2005,Haiti,HTI,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1902,Haiti,HTI,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1839,Haiti,HTI,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1715,Haiti,HTI,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1474,Haiti,HTI,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1251,Haiti,HTI,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1177,Haiti,HTI,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1068,Haiti,HTI,1990
