Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),278303,Indonesia,IDN,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),133685,Indonesia,IDN,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),128009,Indonesia,IDN,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),102265,Indonesia,IDN,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),95636,Indonesia,IDN,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),91569,Indonesia,IDN,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),84478,Indonesia,IDN,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),65596,Indonesia,IDN,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),57983,Indonesia,IDN,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),49320,Indonesia,IDN,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),33219,Indonesia,IDN,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),25621,Indonesia,IDN,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),24297,Indonesia,IDN,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),22381,Indonesia,IDN,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),19261,Indonesia,IDN,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),18681,Indonesia,IDN,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),11950,Indonesia,IDN,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),11316,Indonesia,IDN,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),9425,Indonesia,IDN,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),6520,Indonesia,IDN,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),3343,Indonesia,IDN,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),2643,Indonesia,IDN,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),2481,Indonesia,IDN,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",2000,Indonesia,IDN,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),982,Indonesia,IDN,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),397,Indonesia,IDN,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),257,Indonesia,IDN,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),230,Indonesia,IDN,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),212,Indonesia,IDN,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),112,Indonesia,IDN,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),12,Indonesia,IDN,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,12,Indonesia,IDN,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Indonesia,IDN,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),285751,Indonesia,IDN,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),126918,Indonesia,IDN,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),125100,Indonesia,IDN,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),101675,Indonesia,IDN,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),98800,Indonesia,IDN,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),87403,Indonesia,IDN,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),85907,Indonesia,IDN,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),66641,Indonesia,IDN,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),59154,Indonesia,IDN,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),49190,Indonesia,IDN,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),34236,Indonesia,IDN,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),24409,Indonesia,IDN,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),23110,Indonesia,IDN,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),22809,Indonesia,IDN,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),18316,Indonesia,IDN,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),18251,Indonesia,IDN,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),11381,Indonesia,IDN,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),10994,Indonesia,IDN,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),9809,Indonesia,IDN,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),6623,Indonesia,IDN,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),3739,Indonesia,IDN,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),2659,Indonesia,IDN,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),2585,Indonesia,IDN,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",2046,Indonesia,IDN,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),965,Indonesia,IDN,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),450,Indonesia,IDN,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),407,Indonesia,IDN,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),268,Indonesia,IDN,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),173,Indonesia,IDN,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),111,Indonesia,IDN,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),74,Indonesia,IDN,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,21,Indonesia,IDN,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Indonesia,IDN,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),294517,Indonesia,IDN,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),123350,Indonesia,IDN,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),121095,Indonesia,IDN,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),102344,Indonesia,IDN,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),100291,Indonesia,IDN,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),87620,Indonesia,IDN,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),83561,Indonesia,IDN,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),67974,Indonesia,IDN,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),60481,Indonesia,IDN,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),49185,Indonesia,IDN,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),35409,Indonesia,IDN,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),23425,Indonesia,IDN,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),23412,Indonesia,IDN,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),22138,Indonesia,IDN,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),17857,Indonesia,IDN,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),17432,Indonesia,IDN,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),11068,Indonesia,IDN,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),10641,Indonesia,IDN,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),10237,Indonesia,IDN,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),6749,Indonesia,IDN,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),3032,Indonesia,IDN,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),2715,Indonesia,IDN,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),2688,Indonesia,IDN,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),2632,Indonesia,IDN,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",1925,Indonesia,IDN,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),945,Indonesia,IDN,1992
