Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),37179,Iraq,IRQ,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),17394,Iraq,IRQ,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),7968,Iraq,IRQ,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),7337,Iraq,IRQ,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),3744,Iraq,IRQ,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),3682,Iraq,IRQ,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3463,Iraq,IRQ,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2566,Iraq,IRQ,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2278,Iraq,IRQ,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2101,Iraq,IRQ,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),2031,Iraq,IRQ,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1538,Iraq,IRQ,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1490,Iraq,IRQ,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1382,Iraq,IRQ,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1159,Iraq,IRQ,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),993,Iraq,IRQ,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),873,Iraq,IRQ,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",832,Iraq,IRQ,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),766,Iraq,IRQ,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),575,Iraq,IRQ,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),500,Iraq,IRQ,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),465,Iraq,IRQ,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),279,Iraq,IRQ,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),258,Iraq,IRQ,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),122,Iraq,IRQ,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),104,Iraq,IRQ,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),35,Iraq,IRQ,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),22,Iraq,IRQ,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),6,Iraq,IRQ,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),6,Iraq,IRQ,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Iraq,IRQ,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Iraq,IRQ,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Iraq,IRQ,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),38305,Iraq,IRQ,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),18257,Iraq,IRQ,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8247,Iraq,IRQ,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),7566,Iraq,IRQ,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),3989,Iraq,IRQ,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),3833,Iraq,IRQ,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3536,Iraq,IRQ,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2735,Iraq,IRQ,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2349,Iraq,IRQ,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2178,Iraq,IRQ,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1596,Iraq,IRQ,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1542,Iraq,IRQ,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1411,Iraq,IRQ,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1400,Iraq,IRQ,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1200,Iraq,IRQ,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1059,Iraq,IRQ,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),962,Iraq,IRQ,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",892,Iraq,IRQ,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),854,Iraq,IRQ,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),643,Iraq,IRQ,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),539,Iraq,IRQ,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),501,Iraq,IRQ,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),285,Iraq,IRQ,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),265,Iraq,IRQ,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),141,Iraq,IRQ,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),112,Iraq,IRQ,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),37,Iraq,IRQ,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),24,Iraq,IRQ,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),20,Iraq,IRQ,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),8,Iraq,IRQ,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),6,Iraq,IRQ,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,1,Iraq,IRQ,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Iraq,IRQ,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),40159,Iraq,IRQ,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),19290,Iraq,IRQ,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8613,Iraq,IRQ,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),7886,Iraq,IRQ,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),4305,Iraq,IRQ,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),3977,Iraq,IRQ,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3650,Iraq,IRQ,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2996,Iraq,IRQ,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2448,Iraq,IRQ,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2282,Iraq,IRQ,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1659,Iraq,IRQ,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1611,Iraq,IRQ,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1450,Iraq,IRQ,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1401,Iraq,IRQ,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1256,Iraq,IRQ,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1110,Iraq,IRQ,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1058,Iraq,IRQ,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",946,Iraq,IRQ,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),941,Iraq,IRQ,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),685,Iraq,IRQ,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),581,Iraq,IRQ,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),541,Iraq,IRQ,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),299,Iraq,IRQ,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),269,Iraq,IRQ,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),163,Iraq,IRQ,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),120,Iraq,IRQ,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,117,Iraq,IRQ,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),39,Iraq,IRQ,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),25,Iraq,IRQ,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),9,Iraq,IRQ,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),6,Iraq,IRQ,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Iraq,IRQ,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Iraq,IRQ,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),41724,Iraq,IRQ,1993
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),19744,Iraq,IRQ,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8900,Iraq,IRQ,1993
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8171,Iraq,IRQ,1993
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),4510,Iraq,IRQ,1993
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),4092,Iraq,IRQ,1993
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3751,Iraq,IRQ,1993
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),3249,Iraq,IRQ,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2512,Iraq,IRQ,1993
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2373,Iraq,IRQ,1993
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1749,Iraq,IRQ,1993
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1659,Iraq,IRQ,1993
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1481,Iraq,IRQ,1993
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1295,Iraq,IRQ,1993
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1239,Iraq,IRQ,1993
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1153,Iraq,IRQ,1993
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1005,Iraq,IRQ,1993
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",987,Iraq,IRQ,1993
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),843,Iraq,IRQ,1993
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),710,Iraq,IRQ,1993
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),613,Iraq,IRQ,1993
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),570,Iraq,IRQ,1993
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),311,Iraq,IRQ,1993
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),270,Iraq,IRQ,1993
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),183,Iraq,IRQ,1993
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),125,Iraq,IRQ,1993
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),41,Iraq,IRQ,1993
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),27,Iraq,IRQ,1993
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),11,Iraq,IRQ,1993
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),6,Iraq,IRQ,1993
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Iraq,IRQ,1993
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Iraq,IRQ,1993
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Iraq,IRQ,1993
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),42518,Iraq,IRQ,1994
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),19753,Iraq,IRQ,1994
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),9112,Iraq,IRQ,1994
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8172,Iraq,IRQ,1994
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),4687,Iraq,IRQ,1994
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),4145,Iraq,IRQ,1994
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3796,Iraq,IRQ,1994
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),3539,Iraq,IRQ,1994
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2550,Iraq,IRQ,1994
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2427,Iraq,IRQ,1994
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1883,Iraq,IRQ,1994
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1813,Iraq,IRQ,1994
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1693,Iraq,IRQ,1994
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1511,Iraq,IRQ,1994
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1298,Iraq,IRQ,1994
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1183,Iraq,IRQ,1994
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1070,Iraq,IRQ,1994
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",1023,Iraq,IRQ,1994
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),817,Iraq,IRQ,1994
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),760,Iraq,IRQ,1994
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),616,Iraq,IRQ,1994
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),573,Iraq,IRQ,1994
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),317,Iraq,IRQ,1994
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),267,Iraq,IRQ,1994
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),203,Iraq,IRQ,1994
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),130,Iraq,IRQ,1994
Terrorism (deaths),Deaths - Terrorism (deaths) ---,75,Iraq,IRQ,1994
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),43,Iraq,IRQ,1994
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),28,Iraq,IRQ,1994
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),13,Iraq,IRQ,1994
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),6,Iraq,IRQ,1994
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Iraq,IRQ,1994
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Iraq,IRQ,1994
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),44114,Iraq,IRQ,1995
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),19791,Iraq,IRQ,1995
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),9413,Iraq,IRQ,1995
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8142,Iraq,IRQ,1995
