Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),85939,South Korea,KOR,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),48342,South Korea,KOR,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),21168,South Korea,KOR,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),15888,South Korea,KOR,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),15004,South Korea,KOR,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),11477,South Korea,KOR,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),7522,South Korea,KOR,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),5119,South Korea,KOR,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),5032,South Korea,KOR,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),4657,South Korea,KOR,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),3364,South Korea,KOR,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3122,South Korea,KOR,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2733,South Korea,KOR,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2467,South Korea,KOR,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),1071,South Korea,KOR,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),914,South Korea,KOR,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",866,South Korea,KOR,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),808,South Korea,KOR,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),697,South Korea,KOR,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),681,South Korea,KOR,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),581,South Korea,KOR,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),445,South Korea,KOR,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),332,South Korea,KOR,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),283,South Korea,KOR,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),154,South Korea,KOR,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),146,South Korea,KOR,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),127,South Korea,KOR,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),82,South Korea,KOR,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),52,South Korea,KOR,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),29,South Korea,KOR,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),13,South Korea,KOR,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,South Korea,KOR,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,South Korea,KOR,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),84659,South Korea,KOR,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),50430,South Korea,KOR,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),21020,South Korea,KOR,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),15778,South Korea,KOR,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),15731,South Korea,KOR,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),11716,South Korea,KOR,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),6906,South Korea,KOR,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),5693,South Korea,KOR,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),5155,South Korea,KOR,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),4365,South Korea,KOR,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),3641,South Korea,KOR,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),3058,South Korea,KOR,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2487,South Korea,KOR,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2391,South Korea,KOR,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),1179,South Korea,KOR,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),909,South Korea,KOR,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",862,South Korea,KOR,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),824,South Korea,KOR,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),736,South Korea,KOR,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),632,South Korea,KOR,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),531,South Korea,KOR,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),426,South Korea,KOR,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),291,South Korea,KOR,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),274,South Korea,KOR,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),140,South Korea,KOR,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),127,South Korea,KOR,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),126,South Korea,KOR,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),92,South Korea,KOR,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),55,South Korea,KOR,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),28,South Korea,KOR,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),12,South Korea,KOR,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,South Korea,KOR,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,South Korea,KOR,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),81357,South Korea,KOR,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),51927,South Korea,KOR,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),20752,South Korea,KOR,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),16047,South Korea,KOR,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),15575,South Korea,KOR,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),11778,South Korea,KOR,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),6265,South Korea,KOR,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),6202,South Korea,KOR,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),5267,South Korea,KOR,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),4044,South Korea,KOR,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),3877,South Korea,KOR,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2985,South Korea,KOR,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2346,South Korea,KOR,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2311,South Korea,KOR,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),1276,South Korea,KOR,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),882,South Korea,KOR,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",861,South Korea,KOR,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),848,South Korea,KOR,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),758,South Korea,KOR,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),586,South Korea,KOR,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),489,South Korea,KOR,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),398,South Korea,KOR,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),289,South Korea,KOR,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),259,South Korea,KOR,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),128,South Korea,KOR,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),126,South Korea,KOR,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),103,South Korea,KOR,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),60,South Korea,KOR,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),29,South Korea,KOR,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),11,South Korea,KOR,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),5,South Korea,KOR,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,1,South Korea,KOR,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,South Korea,KOR,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),78767,South Korea,KOR,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),53753,South Korea,KOR,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),20705,South Korea,KOR,1993
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),16227,South Korea,KOR,1993
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),15514,South Korea,KOR,1993
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),12027,South Korea,KOR,1993
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),6798,South Korea,KOR,1993
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),5774,South Korea,KOR,1993
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),5506,South Korea,KOR,1993
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),4121,South Korea,KOR,1993
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),3806,South Korea,KOR,1993
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2980,South Korea,KOR,1993
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2283,South Korea,KOR,1993
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2133,South Korea,KOR,1993
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),1381,South Korea,KOR,1993
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),867,South Korea,KOR,1993
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",855,South Korea,KOR,1993
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),846,South Korea,KOR,1993
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),791,South Korea,KOR,1993
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),547,South Korea,KOR,1993
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),445,South Korea,KOR,1993
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),395,South Korea,KOR,1993
