Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),5887,Libya,LBY,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2857,Libya,LBY,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2033,Libya,LBY,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1551,Libya,LBY,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),840,Libya,LBY,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),664,Libya,LBY,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),559,Libya,LBY,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),522,Libya,LBY,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),417,Libya,LBY,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),417,Libya,LBY,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),296,Libya,LBY,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),271,Libya,LBY,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),166,Libya,LBY,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),143,Libya,LBY,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",133,Libya,LBY,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),96,Libya,LBY,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),91,Libya,LBY,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),81,Libya,LBY,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),67,Libya,LBY,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),66,Libya,LBY,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),57,Libya,LBY,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),48,Libya,LBY,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),26,Libya,LBY,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),24,Libya,LBY,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),22,Libya,LBY,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),11,Libya,LBY,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),8,Libya,LBY,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),4,Libya,LBY,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Libya,LBY,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Libya,LBY,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Libya,LBY,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Libya,LBY,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Libya,LBY,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),5864,Libya,LBY,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2695,Libya,LBY,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2066,Libya,LBY,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1538,Libya,LBY,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),789,Libya,LBY,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),663,Libya,LBY,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),556,Libya,LBY,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),527,Libya,LBY,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),428,Libya,LBY,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),420,Libya,LBY,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),275,Libya,LBY,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),270,Libya,LBY,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),166,Libya,LBY,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),139,Libya,LBY,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",130,Libya,LBY,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),88,Libya,LBY,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),85,Libya,LBY,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),80,Libya,LBY,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),68,Libya,LBY,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),64,Libya,LBY,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),56,Libya,LBY,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),45,Libya,LBY,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),29,Libya,LBY,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),22,Libya,LBY,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),21,Libya,LBY,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),11,Libya,LBY,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),9,Libya,LBY,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),4,Libya,LBY,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Libya,LBY,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Libya,LBY,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Libya,LBY,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Libya,LBY,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Libya,LBY,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),5777,Libya,LBY,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2496,Libya,LBY,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2096,Libya,LBY,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1543,Libya,LBY,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),739,Libya,LBY,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),658,Libya,LBY,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),548,Libya,LBY,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),522,Libya,LBY,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),438,Libya,LBY,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),421,Libya,LBY,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),275,Libya,LBY,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),245,Libya,LBY,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),168,Libya,LBY,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),136,Libya,LBY,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",128,Libya,LBY,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),82,Libya,LBY,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),82,Libya,LBY,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),80,Libya,LBY,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),68,Libya,LBY,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),61,Libya,LBY,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),55,Libya,LBY,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),43,Libya,LBY,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),32,Libya,LBY,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),22,Libya,LBY,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),20,Libya,LBY,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),11,Libya,LBY,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),10,Libya,LBY,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),4,Libya,LBY,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Libya,LBY,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Libya,LBY,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Libya,LBY,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,Libya,LBY,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Libya,LBY,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),5796,Libya,LBY,1993
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2305,Libya,LBY,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2139,Libya,LBY,1993
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1538,Libya,LBY,1993
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),705,Libya,LBY,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),659,Libya,LBY,1993
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),549,Libya,LBY,1993
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),530,Libya,LBY,1993
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),452,Libya,LBY,1993
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),424,Libya,LBY,1993
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),279,Libya,LBY,1993
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),224,Libya,LBY,1993
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),170,Libya,LBY,1993
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),132,Libya,LBY,1993
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",127,Libya,LBY,1993
