Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),30022,Sri Lanka,LKA,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),9542,Sri Lanka,LKA,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8430,Sri Lanka,LKA,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),6791,Sri Lanka,LKA,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),6289,Sri Lanka,LKA,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),5212,Sri Lanka,LKA,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4683,Sri Lanka,LKA,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),4366,Sri Lanka,LKA,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3850,Sri Lanka,LKA,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2870,Sri Lanka,LKA,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2611,Sri Lanka,LKA,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2505,Sri Lanka,LKA,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2489,Sri Lanka,LKA,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2165,Sri Lanka,LKA,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,1505,Sri Lanka,LKA,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1423,Sri Lanka,LKA,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1257,Sri Lanka,LKA,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1219,Sri Lanka,LKA,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),587,Sri Lanka,LKA,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),569,Sri Lanka,LKA,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),479,Sri Lanka,LKA,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),462,Sri Lanka,LKA,1990
