Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),20866,Lithuania,LTU,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),7018,Lithuania,LTU,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1473,Lithuania,LTU,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1159,Lithuania,LTU,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1117,Lithuania,LTU,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),911,Lithuania,LTU,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),855,Lithuania,LTU,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),657,Lithuania,LTU,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),548,Lithuania,LTU,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),376,Lithuania,LTU,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),353,Lithuania,LTU,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),302,Lithuania,LTU,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),262,Lithuania,LTU,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),257,Lithuania,LTU,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),224,Lithuania,LTU,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),198,Lithuania,LTU,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",172,Lithuania,LTU,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),146,Lithuania,LTU,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),143,Lithuania,LTU,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),116,Lithuania,LTU,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),58,Lithuania,LTU,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),55,Lithuania,LTU,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),28,Lithuania,LTU,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),24,Lithuania,LTU,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),15,Lithuania,LTU,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),14,Lithuania,LTU,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),10,Lithuania,LTU,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),7,Lithuania,LTU,1990
