Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),1685,Luxembourg,LUX,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),1039,Luxembourg,LUX,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),187,Luxembourg,LUX,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),176,Luxembourg,LUX,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),100,Luxembourg,LUX,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),94,Luxembourg,LUX,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),89,Luxembourg,LUX,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),81,Luxembourg,LUX,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),76,Luxembourg,LUX,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),59,Luxembourg,LUX,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),52,Luxembourg,LUX,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),29,Luxembourg,LUX,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),18,Luxembourg,LUX,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),16,Luxembourg,LUX,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),8,Luxembourg,LUX,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),8,Luxembourg,LUX,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),5,Luxembourg,LUX,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",4,Luxembourg,LUX,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),4,Luxembourg,LUX,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),4,Luxembourg,LUX,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),4,Luxembourg,LUX,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),4,Luxembourg,LUX,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),3,Luxembourg,LUX,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),3,Luxembourg,LUX,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),2,Luxembourg,LUX,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1,Luxembourg,LUX,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),1,Luxembourg,LUX,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Luxembourg,LUX,1990
