Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),21003,Moldova,MDA,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),6280,Moldova,MDA,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4016,Moldova,MDA,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3144,Moldova,MDA,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1830,Moldova,MDA,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1213,Moldova,MDA,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1171,Moldova,MDA,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),776,Moldova,MDA,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),704,Moldova,MDA,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),544,Moldova,MDA,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),499,Moldova,MDA,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),474,Moldova,MDA,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),357,Moldova,MDA,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),322,Moldova,MDA,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",226,Moldova,MDA,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),212,Moldova,MDA,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),199,Moldova,MDA,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),153,Moldova,MDA,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),141,Moldova,MDA,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),107,Moldova,MDA,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),103,Moldova,MDA,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),101,Moldova,MDA,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),54,Moldova,MDA,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),38,Moldova,MDA,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),36,Moldova,MDA,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),34,Moldova,MDA,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),17,Moldova,MDA,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),12,Moldova,MDA,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Moldova,MDA,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Moldova,MDA,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Moldova,MDA,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Moldova,MDA,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Moldova,MDA,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),22998,Moldova,MDA,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),6444,Moldova,MDA,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4304,Moldova,MDA,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3363,Moldova,MDA,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1923,Moldova,MDA,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1183,Moldova,MDA,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1174,Moldova,MDA,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),815,Moldova,MDA,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),641,Moldova,MDA,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),566,Moldova,MDA,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),532,Moldova,MDA,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),490,Moldova,MDA,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),364,Moldova,MDA,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),363,Moldova,MDA,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),247,Moldova,MDA,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),227,Moldova,MDA,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",217,Moldova,MDA,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),167,Moldova,MDA,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),119,Moldova,MDA,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),119,Moldova,MDA,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),111,Moldova,MDA,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),87,Moldova,MDA,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),78,Moldova,MDA,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),38,Moldova,MDA,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),35,Moldova,MDA,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),35,Moldova,MDA,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),16,Moldova,MDA,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),13,Moldova,MDA,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),9,Moldova,MDA,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Moldova,MDA,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Moldova,MDA,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,Moldova,MDA,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Moldova,MDA,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),22613,Moldova,MDA,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),6032,Moldova,MDA,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4067,Moldova,MDA,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3148,Moldova,MDA,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1836,Moldova,MDA,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1112,Moldova,MDA,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1052,Moldova,MDA,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),840,Moldova,MDA,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),758,Moldova,MDA,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),610,Moldova,MDA,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),589,Moldova,MDA,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),576,Moldova,MDA,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),437,Moldova,MDA,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),360,Moldova,MDA,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),349,Moldova,MDA,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),242,Moldova,MDA,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),236,Moldova,MDA,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",196,Moldova,MDA,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),163,Moldova,MDA,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),121,Moldova,MDA,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),108,Moldova,MDA,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),105,Moldova,MDA,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),79,Moldova,MDA,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),70,Moldova,MDA,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),37,Moldova,MDA,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),32,Moldova,MDA,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),31,Moldova,MDA,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,10,Moldova,MDA,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),9,Moldova,MDA,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),7,Moldova,MDA,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Moldova,MDA,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Moldova,MDA,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Moldova,MDA,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),24183,Moldova,MDA,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),6086,Moldova,MDA,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4224,Moldova,MDA,1993
