Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22134,Madagascar,MDG,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),19445,Madagascar,MDG,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),18027,Madagascar,MDG,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),12311,Madagascar,MDG,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),11927,Madagascar,MDG,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),11756,Madagascar,MDG,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),11719,Madagascar,MDG,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),6053,Madagascar,MDG,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),5984,Madagascar,MDG,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4222,Madagascar,MDG,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4165,Madagascar,MDG,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),3119,Madagascar,MDG,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2798,Madagascar,MDG,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2322,Madagascar,MDG,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),2018,Madagascar,MDG,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1506,Madagascar,MDG,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1196,Madagascar,MDG,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),925,Madagascar,MDG,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),613,Madagascar,MDG,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),499,Madagascar,MDG,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",403,Madagascar,MDG,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),368,Madagascar,MDG,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),250,Madagascar,MDG,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),142,Madagascar,MDG,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),123,Madagascar,MDG,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),119,Madagascar,MDG,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),81,Madagascar,MDG,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),18,Madagascar,MDG,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1,Madagascar,MDG,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Madagascar,MDG,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Madagascar,MDG,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Madagascar,MDG,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Madagascar,MDG,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22018,Madagascar,MDG,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),19826,Madagascar,MDG,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),18216,Madagascar,MDG,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),12122,Madagascar,MDG,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),11818,Madagascar,MDG,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),11760,Madagascar,MDG,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),11629,Madagascar,MDG,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),6189,Madagascar,MDG,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),6020,Madagascar,MDG,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4251,Madagascar,MDG,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4231,Madagascar,MDG,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),3098,Madagascar,MDG,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2822,Madagascar,MDG,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2324,Madagascar,MDG,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),2101,Madagascar,MDG,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1512,Madagascar,MDG,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1198,Madagascar,MDG,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),933,Madagascar,MDG,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),623,Madagascar,MDG,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),506,Madagascar,MDG,1991
