Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),72347,Mexico,MEX,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),47078,Mexico,MEX,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),37508,Mexico,MEX,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),36292,Mexico,MEX,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),31114,Mexico,MEX,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),27164,Mexico,MEX,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),26772,Mexico,MEX,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),24013,Mexico,MEX,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),20634,Mexico,MEX,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),16910,Mexico,MEX,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),16660,Mexico,MEX,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),12933,Mexico,MEX,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),12176,Mexico,MEX,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),10836,Mexico,MEX,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),7184,Mexico,MEX,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),6577,Mexico,MEX,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),4592,Mexico,MEX,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),4485,Mexico,MEX,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),2702,Mexico,MEX,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2059,Mexico,MEX,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1815,Mexico,MEX,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1727,Mexico,MEX,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),1514,Mexico,MEX,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",1470,Mexico,MEX,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),922,Mexico,MEX,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),354,Mexico,MEX,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),294,Mexico,MEX,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),239,Mexico,MEX,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),121,Mexico,MEX,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),21,Mexico,MEX,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),14,Mexico,MEX,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,3,Mexico,MEX,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Mexico,MEX,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),73390,Mexico,MEX,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),47898,Mexico,MEX,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),36818,Mexico,MEX,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),36794,Mexico,MEX,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),29288,Mexico,MEX,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),27542,Mexico,MEX,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),24522,Mexico,MEX,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),24372,Mexico,MEX,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),20434,Mexico,MEX,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),17171,Mexico,MEX,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),17011,Mexico,MEX,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),12769,Mexico,MEX,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),12725,Mexico,MEX,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),10721,Mexico,MEX,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),6870,Mexico,MEX,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),6821,Mexico,MEX,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),4594,Mexico,MEX,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),4384,Mexico,MEX,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),2880,Mexico,MEX,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2542,Mexico,MEX,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1751,Mexico,MEX,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1610,Mexico,MEX,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),1564,Mexico,MEX,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",1433,Mexico,MEX,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),893,Mexico,MEX,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),299,Mexico,MEX,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),295,Mexico,MEX,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),236,Mexico,MEX,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),55,Mexico,MEX,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),20,Mexico,MEX,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),19,Mexico,MEX,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,13,Mexico,MEX,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Mexico,MEX,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),75338,Mexico,MEX,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),49311,Mexico,MEX,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),37723,Mexico,MEX,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),36088,Mexico,MEX,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),28646,Mexico,MEX,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),28163,Mexico,MEX,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),25279,Mexico,MEX,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),21391,Mexico,MEX,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),20399,Mexico,MEX,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),17613,Mexico,MEX,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),17253,Mexico,MEX,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),13550,Mexico,MEX,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),12496,Mexico,MEX,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),10544,Mexico,MEX,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),7188,Mexico,MEX,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),6753,Mexico,MEX,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),4612,Mexico,MEX,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),4274,Mexico,MEX,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),3101,Mexico,MEX,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),3073,Mexico,MEX,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1722,Mexico,MEX,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),1625,Mexico,MEX,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1526,Mexico,MEX,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",1359,Mexico,MEX,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),861,Mexico,MEX,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),313,Mexico,MEX,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),299,Mexico,MEX,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),234,Mexico,MEX,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),18,Mexico,MEX,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),10,Mexico,MEX,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),9,Mexico,MEX,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,6,Mexico,MEX,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Mexico,MEX,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),77605,Mexico,MEX,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),51003,Mexico,MEX,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),38980,Mexico,MEX,1993
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),35337,Mexico,MEX,1993
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),29958,Mexico,MEX,1993
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),27289,Mexico,MEX,1993
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),26322,Mexico,MEX,1993
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),20270,Mexico,MEX,1993
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),18975,Mexico,MEX,1993
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),18264,Mexico,MEX,1993
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),17245,Mexico,MEX,1993
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),14484,Mexico,MEX,1993
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),12327,Mexico,MEX,1993
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),10380,Mexico,MEX,1993
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),7534,Mexico,MEX,1993
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),6375,Mexico,MEX,1993
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),4642,Mexico,MEX,1993
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),4140,Mexico,MEX,1993
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),3726,Mexico,MEX,1993
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),3274,Mexico,MEX,1993
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),1702,Mexico,MEX,1993
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1660,Mexico,MEX,1993
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1444,Mexico,MEX,1993
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",1310,Mexico,MEX,1993
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),830,Mexico,MEX,1993
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),324,Mexico,MEX,1993
